id,name,total,over_votes,under_votes,Write-in,Callie Barr,Kyle Blomquist,Wayne Stiles
1430432000001,"Au Sable Township, Precinct 1",36,,,0,21,12,3
1430472000001,"Backus Township, Precinct 1",37,,,1,27,6,3
1432164000001,"Denton Township, Precinct 1",375,,,3,242,78,52
1432164000002,"Denton Township, Precinct 2",257,,,0,178,52,27
1433196000001,"Gerrish Township, Precinct 1",506,,,4,355,112,35
1433802000001,"Higgins Township, Precinct 1",184,,,1,126,41,16
1434440000001,"Lake Township, Precinct 1",174,,,0,135,24,15
1434984000001,"Lyon Township, Precinct 1",201,,,1,134,52,14
1435178000001,"Markey Township, Precinct 1",352,,,1,254,59,38
1435698000001,"Nester Township, Precinct 1",47,,,0,31,10,6
1436820000001,"Richfield Township, Precinct 1",405,,,3,251,117,34
1436956000001,"Roscommon Township, Precinct 1",231,,,2,148,53,28
1436956000002,"Roscommon Township, Precinct 2",213,,,0,147,50,16
