id,name,ballots,registered,turnout
1430432000001,"Au Sable Township, Precinct 1",91,265,34.34
1430472000001,"Backus Township, Precinct 1",117,313,37.38
1432164000001,"Denton Township, Precinct 1",1031,2785,37.02
1432164000002,"Denton Township, Precinct 2",790,2423,32.60
1433196000001,"Gerrish Township, Precinct 1",1310,2887,45.38
1433802000001,"Higgins Township, Precinct 1",461,1801,25.60
1434440000001,"Lake Township, Precinct 1",476,1225,38.86
1434984000001,"Lyon Township, Precinct 1",555,1362,40.75
1435178000001,"Markey Township, Precinct 1",893,2398,37.24
1435698000001,"Nester Township, Precinct 1",116,275,42.18
1436820000001,"Richfield Township, Precinct 1",1223,3644,33.56
1436956000001,"Roscommon Township, Precinct 1",628,2167,28.98
1436956000002,"Roscommon Township, Precinct 2",613,1817,33.74
