id,name,Jocelyn Benson,Christopher Robert Swanson,Write-in
1453020000001,"City of Frankenmuth, Precinct 1",331,100,0
1457052000001,"City of Saginaw, Precinct 1",201,74,0
1457052000002,"City of Saginaw, Precinct 2",,,
1457052000003,"City of Saginaw, Precinct 3",122,67,2
1457052000004,"City of Saginaw, Precinct 4",103,24,0
1457052000005,"City of Saginaw, Precinct 5",62,31,0
1457052000006,"City of Saginaw, Precinct 6",144,55,0
1457052000007,"City of Saginaw, Precinct 7",160,72,1
1457052000008,"City of Saginaw, Precinct 8",127,44,0
1457052000009,"City of Saginaw, Precinct 9",73,58,1
1457052000010,"City of Saginaw, Precinct 10",157,78,0
1457052000011,"City of Saginaw, Precinct 11",114,68,0
1457052000012,"City of Saginaw, Precinct 12",107,57,1
1457052000013,"City of Saginaw, Precinct 13",138,75,1
1457052000014,"City of Saginaw, Precinct 14",239,145,0
1457052000015,"City of Saginaw, Precinct 15",121,92,1
1457052000016,"City of Saginaw, Precinct 16",235,156,1
1458932000001,"City of Zilwaukee, Precinct 1",,,
1450092000001,"Albee Township, Precinct 1",,,
1450856000001,"Birch Run Township, Precinct 1",206,157,0
1450856000002,"Birch Run Township, Precinct 2",,,
1450940000001,"Blumfield Township, Precinct 1",49,46,0
1450994000001,"Brady Township, Precinct 1",0,0,0
1451010000001,"Brant Township, Precinct 1",0,0,0
1451046000001,"Bridgeport Township, Precinct 1",142,80,0
1451046000002,"Bridgeport Township, Precinct 2",337,200,1
1451046000003,"Bridgeport Township, Precinct 3",104,77,0
1451156000001,"Buena Vista Charter Township, Precinct 1",,,
1451156000002,"Buena Vista Charter Township, Precinct 2",239,99,0
1451156000003,"Buena Vista Charter Township, Precinct 3",178,81,0
1451354000001,"Carrollton Township, Precinct 1",132,111,1
1451354000002,"Carrollton Township, Precinct 2",155,134,1
1451466000001,"Chapin Township, Precinct 1",0,0,0
1451516000001,"Chesaning Township, Precinct 1",217,177,0
1453022000001,"Frankenmuth Township, Precinct 1",0,0,0
1453072000001,"Fremont Township, Precinct 1",0,0,0
1454148000001,"James Township, Precinct 1",0,0,0
1454190000001,"Jonesfield Township, Precinct 1",,,
1454380000001,"Kochville Township, Precinct 1",96,74,0
1454456000001,"Lakefield Township, Precinct 1",0,0,0
0155096000001,"Maple Grove Township, Precinct 1",0,0,0
1515172000001,"Marion Township, Precinct 1",,,
1176830000001,"Richland Township, Precinct 1",74,54,0
0776826000002,"Richland Township, Precinct 2",,,
1457054000001,"Saginaw Township, Precinct 1",240,103,0
1457054000002,"Saginaw Township, Precinct 2",295,148,2
1457054000003,"Saginaw Township, Precinct 3",152,81,1
1457054000004,"Saginaw Township, Precinct 4",86,65,0
1457054000005,"Saginaw Township, Precinct 5",206,89,1
1457054000006,"Saginaw Township, Precinct 6",213,110,0
1457054000007,"Saginaw Township, Precinct 7",173,120,0
1457054000008,"Saginaw Township, Precinct 8",200,81,0
1457054000009,"Saginaw Township, Precinct 9",308,174,0
1457054000010,"Saginaw Township, Precinct 10",193,105,0
1457054000011,"Saginaw Township, Precinct 11",121,96,0
1457054000012,"Saginaw Township, Precinct 12",234,140,0
1457054000013,"Saginaw Township, Precinct 13",223,136,1
1457548000001,"Spaulding Township, Precinct 1",0,0,0
1457066000001,"St. Charles Township, Precinct 1",126,58,0
1457766000001,"Swan Creek Township, Precinct 1",0,0,0
1457910000001,"Taymouth Township, Precinct 1",196,148,0
1457952000001,"Thomas Township, Precinct 1",92,59,0
1457952000002,"Thomas Township, Precinct 2",86,71,0
1457952000003,"Thomas Township, Precinct 3",176,124,0
1457952000004,"Thomas Township, Precinct 4",99,71,0
1457952000005,"Thomas Township, Precinct 5",147,131,1
1457984000001,"Tittabawassee Township, Precinct 1",137,84,1
1457984000002,"Tittabawassee Township, Precinct 2",77,80,0
1457984000003,"Tittabawassee Township, Precinct 3",,,
1457984000004,"Tittabawassee Township, Precinct 4",,,
1458934000001,"Zilwaukee Township, Precinct 1",0,0,0
