id,name,Kristen McDonald Rivet,Write-in
1453020000001,"City of Frankenmuth, Precinct 1",581,2
1457052000001,"City of Saginaw, Precinct 1",407,6
1457052000002,"City of Saginaw, Precinct 2",153,0
1457052000003,"City of Saginaw, Precinct 3",294,5
1457052000004,"City of Saginaw, Precinct 4",190,0
1457052000005,"City of Saginaw, Precinct 5",140,2
1457052000006,"City of Saginaw, Precinct 6",265,3
1457052000007,"City of Saginaw, Precinct 7",365,2
1457052000008,"City of Saginaw, Precinct 8",264,2
1457052000009,"City of Saginaw, Precinct 9",226,5
1457052000010,"City of Saginaw, Precinct 10",374,2
1457052000011,"City of Saginaw, Precinct 11",285,3
1457052000012,"City of Saginaw, Precinct 12",239,3
1457052000013,"City of Saginaw, Precinct 13",362,5
1457052000014,"City of Saginaw, Precinct 14",632,2
1457052000015,"City of Saginaw, Precinct 15",326,6
1457052000016,"City of Saginaw, Precinct 16",636,9
1458932000001,"City of Zilwaukee, Precinct 1",225,0
1450092000001,"Albee Township, Precinct 1",189,2
1450856000001,"Birch Run Township, Precinct 1",494,3
1450856000002,"Birch Run Township, Precinct 2",164,0
1450940000001,"Blumfield Township, Precinct 1",144,2
1450994000001,"Brady Township, Precinct 1",206,1
1451010000001,"Brant Township, Precinct 1",174,1
1451046000001,"Bridgeport Township, Precinct 1",325,3
1451046000002,"Bridgeport Township, Precinct 2",763,2
1451046000003,"Bridgeport Township, Precinct 3",281,2
1451156000001,"Buena Vista Charter Township, Precinct 1",183,1
1451156000002,"Buena Vista Charter Township, Precinct 2",481,1
1451156000003,"Buena Vista Charter Township, Precinct 3",400,0
1451354000001,"Carrollton Township, Precinct 1",357,4
1451354000002,"Carrollton Township, Precinct 2",461,6
1451466000001,"Chapin Township, Precinct 1",66,0
1451516000001,"Chesaning Township, Precinct 1",593,5
1453022000001,"Frankenmuth Township, Precinct 1",213,1
1453072000001,"Fremont Township, Precinct 1",194,1
1454148000001,"James Township, Precinct 1",195,0
1454190000001,"Jonesfield Township, Precinct 1",168,1
1454380000001,"Kochville Township, Precinct 1",278,3
1454456000001,"Lakefield Township, Precinct 1",91,2
0155096000001,"Maple Grove Township, Precinct 1",326,1
1515172000001,"Marion Township, Precinct 1",47,1
1176830000001,"Richland Township, Precinct 1",201,0
0776826000002,"Richland Township, Precinct 2",196,1
1457054000001,"Saginaw Township, Precinct 1",546,3
1457054000002,"Saginaw Township, Precinct 2",771,5
1457054000003,"Saginaw Township, Precinct 3",421,2
1457054000004,"Saginaw Township, Precinct 4",260,0
1457054000005,"Saginaw Township, Precinct 5",497,3
1457054000006,"Saginaw Township, Precinct 6",526,3
1457054000007,"Saginaw Township, Precinct 7",507,2
1457054000008,"Saginaw Township, Precinct 8",491,2
1457054000009,"Saginaw Township, Precinct 9",757,3
1457054000010,"Saginaw Township, Precinct 10",470,2
1457054000011,"Saginaw Township, Precinct 11",367,2
1457054000012,"Saginaw Township, Precinct 12",651,6
1457054000013,"Saginaw Township, Precinct 13",575,0
1457548000001,"Spaulding Township, Precinct 1",240,0
1457066000001,"St. Charles Township, Precinct 1",316,2
1457766000001,"Swan Creek Township, Precinct 1",283,0
1457910000001,"Taymouth Township, Precinct 1",530,2
1457952000001,"Thomas Township, Precinct 1",219,3
1457952000002,"Thomas Township, Precinct 2",269,0
1457952000003,"Thomas Township, Precinct 3",434,2
1457952000004,"Thomas Township, Precinct 4",238,0
1457952000005,"Thomas Township, Precinct 5",456,2
1457984000001,"Tittabawassee Township, Precinct 1",336,1
1457984000002,"Tittabawassee Township, Precinct 2",261,1
1457984000003,"Tittabawassee Township, Precinct 3",178,3
1457984000004,"Tittabawassee Township, Precinct 4",304,3
1458934000001,"Zilwaukee Township, Precinct 1",3,0
