id,name,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Write-in
1453020000001,"City of Frankenmuth, Precinct 1",157,35,234,0
1457052000001,"City of Saginaw, Precinct 1",29,24,219,0
1457052000002,"City of Saginaw, Precinct 2",,,,
1457052000003,"City of Saginaw, Precinct 3",46,15,130,1
1457052000004,"City of Saginaw, Precinct 4",26,2,100,0
1457052000005,"City of Saginaw, Precinct 5",15,5,74,0
1457052000006,"City of Saginaw, Precinct 6",26,10,165,0
1457052000007,"City of Saginaw, Precinct 7",24,11,199,1
1457052000008,"City of Saginaw, Precinct 8",28,0,142,0
1457052000009,"City of Saginaw, Precinct 9",40,7,85,0
1457052000010,"City of Saginaw, Precinct 10",85,14,133,0
1457052000011,"City of Saginaw, Precinct 11",66,4,111,0
1457052000012,"City of Saginaw, Precinct 12",60,5,100,0
1457052000013,"City of Saginaw, Precinct 13",59,9,144,0
1457052000014,"City of Saginaw, Precinct 14",116,6,253,0
1457052000015,"City of Saginaw, Precinct 15",60,12,145,0
1457052000016,"City of Saginaw, Precinct 16",157,16,215,2
1458932000001,"City of Zilwaukee, Precinct 1",,,,
1450092000001,"Albee Township, Precinct 1",,,,
1450856000001,"Birch Run Township, Precinct 1",107,22,234,0
1450856000002,"Birch Run Township, Precinct 2",,,,
1450940000001,"Blumfield Township, Precinct 1",32,6,55,0
1450994000001,"Brady Township, Precinct 1",0,0,0,0
1451010000001,"Brant Township, Precinct 1",0,0,0,0
1451046000001,"Bridgeport Township, Precinct 1",72,18,129,0
1451046000002,"Bridgeport Township, Precinct 2",115,37,387,0
1451046000003,"Bridgeport Township, Precinct 3",33,13,131,0
1451156000001,"Buena Vista Charter Township, Precinct 1",,,,
1451156000002,"Buena Vista Charter Township, Precinct 2",57,24,258,1
1451156000003,"Buena Vista Charter Township, Precinct 3",45,11,204,0
1451354000001,"Carrollton Township, Precinct 1",87,18,136,2
1451354000002,"Carrollton Township, Precinct 2",76,20,192,1
1451466000001,"Chapin Township, Precinct 1",0,0,0,0
1451516000001,"Chesaning Township, Precinct 1",105,29,256,0
1453022000001,"Frankenmuth Township, Precinct 1",0,0,0,0
1453072000001,"Fremont Township, Precinct 1",0,0,0,0
1454148000001,"James Township, Precinct 1",0,0,0,0
1454190000001,"Jonesfield Township, Precinct 1",,,,
1454380000001,"Kochville Township, Precinct 1",36,10,116,0
1454456000001,"Lakefield Township, Precinct 1",0,0,0,0
0155096000001,"Maple Grove Township, Precinct 1",0,0,0,0
1515172000001,"Marion Township, Precinct 1",,,,
1176830000001,"Richland Township, Precinct 1",41,14,70,0
0776826000002,"Richland Township, Precinct 2",,,,
1457054000001,"Saginaw Township, Precinct 1",116,15,211,0
1457054000002,"Saginaw Township, Precinct 2",159,26,255,0
1457054000003,"Saginaw Township, Precinct 3",108,16,106,0
1457054000004,"Saginaw Township, Precinct 4",51,10,88,0
1457054000005,"Saginaw Township, Precinct 5",103,23,170,0
1457054000006,"Saginaw Township, Precinct 6",102,15,209,0
1457054000007,"Saginaw Township, Precinct 7",79,20,191,0
1457054000008,"Saginaw Township, Precinct 8",104,22,155,0
1457054000009,"Saginaw Township, Precinct 9",143,49,282,0
1457054000010,"Saginaw Township, Precinct 10",93,9,194,0
1457054000011,"Saginaw Township, Precinct 11",62,19,127,0
1457054000012,"Saginaw Township, Precinct 12",141,36,198,0
1457054000013,"Saginaw Township, Precinct 13",91,20,248,1
1457548000001,"Spaulding Township, Precinct 1",0,0,0,0
1457066000001,"St. Charles Township, Precinct 1",53,8,120,0
1457766000001,"Swan Creek Township, Precinct 1",0,0,0,0
1457910000001,"Taymouth Township, Precinct 1",97,18,231,0
1457952000001,"Thomas Township, Precinct 1",54,15,84,0
1457952000002,"Thomas Township, Precinct 2",52,6,101,0
1457952000003,"Thomas Township, Precinct 3",100,21,176,0
1457952000004,"Thomas Township, Precinct 4",34,15,119,0
1457952000005,"Thomas Township, Precinct 5",78,13,185,0
1457984000001,"Tittabawassee Township, Precinct 1",91,16,112,1
1457984000002,"Tittabawassee Township, Precinct 2",48,14,89,0
1457984000003,"Tittabawassee Township, Precinct 3",,,,
1457984000004,"Tittabawassee Township, Precinct 4",,,,
1458934000001,"Zilwaukee Township, Precinct 1",0,0,0,0
