id,name,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Write-in
1453020000001,"City of Frankenmuth, Precinct 1",282,44,311,0
1457052000001,"City of Saginaw, Precinct 1",76,27,321,0
1457052000002,"City of Saginaw, Precinct 2",42,5,115,0
1457052000003,"City of Saginaw, Precinct 3",83,15,211,2
1457052000004,"City of Saginaw, Precinct 4",52,4,146,0
1457052000005,"City of Saginaw, Precinct 5",36,5,107,0
1457052000006,"City of Saginaw, Precinct 6",49,12,218,0
1457052000007,"City of Saginaw, Precinct 7",66,13,299,1
1457052000008,"City of Saginaw, Precinct 8",58,1,215,0
1457052000009,"City of Saginaw, Precinct 9",80,10,154,1
1457052000010,"City of Saginaw, Precinct 10",187,23,192,0
1457052000011,"City of Saginaw, Precinct 11",147,9,147,0
1457052000012,"City of Saginaw, Precinct 12",126,6,131,0
1457052000013,"City of Saginaw, Precinct 13",175,14,198,0
1457052000014,"City of Saginaw, Precinct 14",275,8,370,0
1457052000015,"City of Saginaw, Precinct 15",160,15,189,1
1457052000016,"City of Saginaw, Precinct 16",349,25,298,3
1458932000001,"City of Zilwaukee, Precinct 1",101,6,139,0
1450092000001,"Albee Township, Precinct 1",65,11,132,0
1450856000001,"Birch Run Township, Precinct 1",213,27,303,0
1450856000002,"Birch Run Township, Precinct 2",76,9,97,0
1450940000001,"Blumfield Township, Precinct 1",61,7,85,2
1450994000001,"Brady Township, Precinct 1",78,20,123,0
1451010000001,"Brant Township, Precinct 1",74,7,105,0
1451046000001,"Bridgeport Township, Precinct 1",135,30,202,0
1451046000002,"Bridgeport Township, Precinct 2",202,54,549,0
1451046000003,"Bridgeport Township, Precinct 3",70,23,212,1
1451156000001,"Buena Vista Charter Township, Precinct 1",64,9,120,0
1451156000002,"Buena Vista Charter Township, Precinct 2",112,30,358,1
1451156000003,"Buena Vista Charter Township, Precinct 3",79,16,312,0
1451354000001,"Carrollton Township, Precinct 1",175,20,174,2
1451354000002,"Carrollton Township, Precinct 2",190,27,267,1
1451466000001,"Chapin Township, Precinct 1",28,6,39,0
1451516000001,"Chesaning Township, Precinct 1",245,40,358,1
1453022000001,"Frankenmuth Township, Precinct 1",102,11,119,0
1453072000001,"Fremont Township, Precinct 1",72,11,123,0
1454148000001,"James Township, Precinct 1",74,14,130,0
1454190000001,"Jonesfield Township, Precinct 1",59,9,110,0
1454380000001,"Kochville Township, Precinct 1",107,13,180,0
1454456000001,"Lakefield Township, Precinct 1",30,7,64,1
0155096000001,"Maple Grove Township, Precinct 1",110,29,219,0
1515172000001,"Marion Township, Precinct 1",14,2,35,1
1176830000001,"Richland Township, Precinct 1",93,18,112,0
0776826000002,"Richland Township, Precinct 2",94,15,109,0
1457054000001,"Saginaw Township, Precinct 1",236,18,328,0
1457054000002,"Saginaw Township, Precinct 2",381,43,398,0
1457054000003,"Saginaw Township, Precinct 3",234,23,188,0
1457054000004,"Saginaw Township, Precinct 4",123,12,146,0
1457054000005,"Saginaw Township, Precinct 5",247,32,251,0
1457054000006,"Saginaw Township, Precinct 6",219,25,310,0
1457054000007,"Saginaw Township, Precinct 7",219,29,289,0
1457054000008,"Saginaw Township, Precinct 8",236,32,244,0
1457054000009,"Saginaw Township, Precinct 9",323,61,420,0
1457054000010,"Saginaw Township, Precinct 10",203,12,275,0
1457054000011,"Saginaw Township, Precinct 11",162,25,199,1
1457054000012,"Saginaw Township, Precinct 12",341,44,326,0
1457054000013,"Saginaw Township, Precinct 13",225,22,345,1
1457548000001,"Spaulding Township, Precinct 1",103,18,139,0
1457066000001,"St. Charles Township, Precinct 1",123,18,200,1
1457766000001,"Swan Creek Township, Precinct 1",116,21,177,0
1457910000001,"Taymouth Township, Precinct 1",209,32,324,0
1457952000001,"Thomas Township, Precinct 1",103,26,116,0
1457952000002,"Thomas Township, Precinct 2",118,7,158,0
1457952000003,"Thomas Township, Precinct 3",189,33,235,0
1457952000004,"Thomas Township, Precinct 4",76,19,159,0
1457952000005,"Thomas Township, Precinct 5",188,14,279,0
1457984000001,"Tittabawassee Township, Precinct 1",173,19,162,1
1457984000002,"Tittabawassee Township, Precinct 2",119,23,141,0
1457984000003,"Tittabawassee Township, Precinct 3",73,7,105,0
1457984000004,"Tittabawassee Township, Precinct 4",135,9,185,0
1458934000001,"Zilwaukee Township, Precinct 1",0,0,4,0
