id,name,Mike Rogers,Write-in
1453020000001,"City of Frankenmuth, Precinct 1",1179,1
1457052000001,"City of Saginaw, Precinct 1",4,0
1457052000002,"City of Saginaw, Precinct 2",6,0
1457052000003,"City of Saginaw, Precinct 3",24,0
1457052000004,"City of Saginaw, Precinct 4",22,0
1457052000005,"City of Saginaw, Precinct 5",2,0
1457052000006,"City of Saginaw, Precinct 6",9,0
1457052000007,"City of Saginaw, Precinct 7",16,0
1457052000008,"City of Saginaw, Precinct 8",6,0
1457052000009,"City of Saginaw, Precinct 9",68,1
1457052000010,"City of Saginaw, Precinct 10",118,0
1457052000011,"City of Saginaw, Precinct 11",122,0
1457052000012,"City of Saginaw, Precinct 12",81,0
1457052000013,"City of Saginaw, Precinct 13",98,0
1457052000014,"City of Saginaw, Precinct 14",168,1
1457052000015,"City of Saginaw, Precinct 15",95,2
1457052000016,"City of Saginaw, Precinct 16",185,1
1458932000001,"City of Zilwaukee, Precinct 1",159,0
1450092000001,"Albee Township, Precinct 1",241,1
1450856000001,"Birch Run Township, Precinct 1",758,1
1450856000002,"Birch Run Township, Precinct 2",133,1
1450940000001,"Blumfield Township, Precinct 1",419,2
1450994000001,"Brady Township, Precinct 1",227,0
1451010000001,"Brant Township, Precinct 1",314,1
1451046000001,"Bridgeport Township, Precinct 1",251,0
1451046000002,"Bridgeport Township, Precinct 2",158,0
1451046000003,"Bridgeport Township, Precinct 3",297,0
1451156000001,"Buena Vista Charter Township, Precinct 1",108,0
1451156000002,"Buena Vista Charter Township, Precinct 2",51,0
1451156000003,"Buena Vista Charter Township, Precinct 3",28,0
1451354000001,"Carrollton Township, Precinct 1",133,2
1451354000002,"Carrollton Township, Precinct 2",210,1
1451466000001,"Chapin Township, Precinct 1",98,1
1451516000001,"Chesaning Township, Precinct 1",442,2
1453022000001,"Frankenmuth Township, Precinct 1",496,0
1453072000001,"Fremont Township, Precinct 1",296,0
1454148000001,"James Township, Precinct 1",283,1
1454190000001,"Jonesfield Township, Precinct 1",209,1
1454380000001,"Kochville Township, Precinct 1",272,1
1454456000001,"Lakefield Township, Precinct 1",155,0
0155096000001,"Maple Grove Township, Precinct 1",344,4
1515172000001,"Marion Township, Precinct 1",76,1
1176830000001,"Richland Township, Precinct 1",299,0
0776826000002,"Richland Township, Precinct 2",337,0
1457054000001,"Saginaw Township, Precinct 1",442,2
1457054000002,"Saginaw Township, Precinct 2",395,1
1457054000003,"Saginaw Township, Precinct 3",182,0
1457054000004,"Saginaw Township, Precinct 4",183,0
1457054000005,"Saginaw Township, Precinct 5",317,2
1457054000006,"Saginaw Township, Precinct 6",325,1
1457054000007,"Saginaw Township, Precinct 7",312,1
1457054000008,"Saginaw Township, Precinct 8",349,1
1457054000009,"Saginaw Township, Precinct 9",468,2
1457054000010,"Saginaw Township, Precinct 10",283,1
1457054000011,"Saginaw Township, Precinct 11",120,1
1457054000012,"Saginaw Township, Precinct 12",469,1
1457054000013,"Saginaw Township, Precinct 13",301,1
1457548000001,"Spaulding Township, Precinct 1",183,0
1457066000001,"St. Charles Township, Precinct 1",373,1
1457766000001,"Swan Creek Township, Precinct 1",425,1
1457910000001,"Taymouth Township, Precinct 1",571,3
1457952000001,"Thomas Township, Precinct 1",255,1
1457952000002,"Thomas Township, Precinct 2",252,3
1457952000003,"Thomas Township, Precinct 3",584,1
1457952000004,"Thomas Township, Precinct 4",263,0
1457952000005,"Thomas Township, Precinct 5",435,1
1457984000001,"Tittabawassee Township, Precinct 1",351,0
1457984000002,"Tittabawassee Township, Precinct 2",335,3
1457984000003,"Tittabawassee Township, Precinct 3",223,1
1457984000004,"Tittabawassee Township, Precinct 4",287,0
1458934000001,"Zilwaukee Township, Precinct 1",11,0
