id,name,Jocelyn Benson,Christopher Robert Swanson,Write-in
1511118000001,"City of Brown City, Precinct 1",47,14,0
1511892000001,"City of Croswell, Precinct 1",149,30,0
1515182000001,"City of Marlette, Precinct 1",119,48,0
1517154000001,"City of Sandusky, Precinct 1",144,58,0
1510346000001,"Argyle Township, Precinct 1",27,15,0
1510440000001,"Austin Township, Precinct 1",26,24,0
1511042000001,"Bridgehampton Township, Precinct 1",20,11,0
1511154000001,"Buel Township, Precinct 1",45,17,0
1511946000001,"Custer Township, Precinct 1",45,11,0
1512138000001,"Delaware Township, Precinct 1",43,17,0
1512528000001,"Elk Township, Precinct 1",78,29,0
1512554000001,"Elmer Township, Precinct 1",24,14,0
1512674000001,"Evergreen Township, Precinct 1",14,4,0
1512924000001,"Flynn Township, Precinct 1",35,12,0
1512950000001,"Forester Township, Precinct 1",96,17,0
1513074000001,"Fremont Township, Precinct 1",54,8,0
1513502000001,"Greenleaf Township, Precinct 1",24,19,0
1514546000001,"Lamotte Township, Precinct 1",23,18,0
1514730000001,"Lexington Township, Precinct 1",411,66,1
1515138000001,"Maple Valley Township, Precinct 1",46,17,1
1515172000001,"Marion Township, Precinct 1",56,24,0
1515184000001,"Marlette Township, Precinct 1",73,32,0
1515454000001,"Minden Township, Precinct 1",40,13,0
1515532000001,"Moore Township, Precinct 1",47,7,0
1517158000001,"Sanilac Township, Precinct 1",274,44,1
1517550000001,"Speaker Township, Precinct 1",83,13,1
1518414000001,"Washington Township, Precinct 1",69,11,1
1518444000001,"Watertown Township, Precinct 1",43,12,0
1518658000001,"Wheatland Township, Precinct 1",20,10,0
1518876000001,"Worth Township, Precinct 1",366,58,2
