id,name,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Write-in
1511118000001,"City of Brown City, Precinct 1",34,3,26,1
1511892000001,"City of Croswell, Precinct 1",76,9,98,0
1515182000001,"City of Marlette, Precinct 1",53,9,100,0
1517154000001,"City of Sandusky, Precinct 1",85,5,107,0
1510346000001,"Argyle Township, Precinct 1",12,4,27,0
1510440000001,"Austin Township, Precinct 1",12,4,33,0
1511042000001,"Bridgehampton Township, Precinct 1",15,1,16,0
1511154000001,"Buel Township, Precinct 1",20,3,41,0
1511946000001,"Custer Township, Precinct 1",19,0,39,0
1512138000001,"Delaware Township, Precinct 1",19,5,36,0
1512528000001,"Elk Township, Precinct 1",42,4,62,0
1512554000001,"Elmer Township, Precinct 1",13,4,21,0
1512674000001,"Evergreen Township, Precinct 1",4,1,13,0
1512924000001,"Flynn Township, Precinct 1",11,3,32,0
1512950000001,"Forester Township, Precinct 1",51,2,63,0
1513074000001,"Fremont Township, Precinct 1",23,3,37,1
1513502000001,"Greenleaf Township, Precinct 1",13,4,28,0
1514546000001,"Lamotte Township, Precinct 1",19,0,24,0
1514730000001,"Lexington Township, Precinct 1",163,11,318,1
1515138000001,"Maple Valley Township, Precinct 1",21,4,38,0
1515172000001,"Marion Township, Precinct 1",25,1,55,0
1515184000001,"Marlette Township, Precinct 1",33,2,68,0
1515454000001,"Minden Township, Precinct 1",14,2,37,0
1515532000001,"Moore Township, Precinct 1",20,0,35,0
1517158000001,"Sanilac Township, Precinct 1",103,18,202,0
1517550000001,"Speaker Township, Precinct 1",34,3,61,0
1518414000001,"Washington Township, Precinct 1",30,3,50,0
1518444000001,"Watertown Township, Precinct 1",22,2,34,0
1518658000001,"Wheatland Township, Precinct 1",12,0,17,0
1518876000001,"Worth Township, Precinct 1",154,13,264,0
