id,name,Mike Cox,John James,Perry Johnson,Aric Nesbitt,Write-in
1551830000001,"City of Corunna, Precinct 1",32,96,75,2,0
1552350000001,"City of Durand, Precinct 1",5,46,34,2,0
1552350000002,"City of Durand, Precinct 2",9,28,33,3,0
1554420000001,"City of Laingsburg, Precinct 1",15,37,39,0,0
1556194000001,"City of Owosso, Precinct 1",19,94,65,1,2
1556194002001,"City of Owosso, Precinct 2",20,98,41,1,2
1556194000003,"City of Owosso, Precinct 3",25,66,42,1,0
1556194000004,"City of Owosso, Precinct 4",16,46,48,3,0
1556194000005,"City of Owosso, Precinct 5",21,52,30,0,0
1556194000006,"City of Owosso, Precinct 6",22,65,51,8,0
1556370000001,"City of Perry, Precinct 1",31,91,71,3,0
1550312000001,"Antrim Township, Precinct 1",16,33,34,2,0
1550728000001,"Bennington Township, Precinct 1",52,163,119,4,1
1551188000001,"Burns Township, Precinct 1",22,122,116,9,0
1551252000001,"Caledonia Charter Township, Precinct 1",25,135,105,2,0
1552704000001,"Fairfield Township, Precinct 1",11,23,34,1,0
1553744000001,"Hazelton Township, Precinct 1",53,134,80,4,0
1555368000001,"Middlebury Township, Precinct 1",23,87,72,1,4
1555740000001,"New Haven Township, Precinct 1",33,77,58,6,0
1556196000001,"Owosso Charter Township, Precinct 1",47,126,97,6,3
1556196000002,"Owosso Charter Township, Precinct 2",39,119,52,2,0
1556372000001,"Perry Township, Precinct 1",4,70,32,0,0
1556372000002,"Perry Township, Precinct 2",22,104,57,1,1
1557026000001,"Rush Township, Precinct 1",37,90,68,7,2
1557196000001,"Sciota Township, Precinct 1",15,67,30,1,0
1557352000001,"Shiawassee Township, Precinct 1",44,215,134,9,2
1558188000001,"Venice Township, Precinct 1",36,98,110,6,1
1558204000001,"Vernon Township, Precinct 1",18,106,68,1,0
1558204000002,"Vernon Township, Precinct 2",17,61,59,0,1
1558840000001,"Woodhull Township, Precinct 1",17,112,79,0,0
