id,name,Bridget Brink,William Lawrence,Matt Maasdam,Write-in
1551830000001,"City of Corunna, Precinct 1",5,15,9,0
1552350000001,"City of Durand, Precinct 1",1,0,1,0
1552350000002,"City of Durand, Precinct 2",3,5,0,0
1554420000001,"City of Laingsburg, Precinct 1",0,2,0,0
1556194000001,"City of Owosso, Precinct 1",12,15,13,0
1556194002001,"City of Owosso, Precinct 2",7,8,12,0
1556194000003,"City of Owosso, Precinct 3",7,9,6,0
1556194000004,"City of Owosso, Precinct 4",4,11,4,0
1556194000005,"City of Owosso, Precinct 5",2,8,2,0
1556194000006,"City of Owosso, Precinct 6",8,4,6,0
1556370000001,"City of Perry, Precinct 1",0,4,2,0
1550312000001,"Antrim Township, Precinct 1",1,0,4,0
1550728000001,"Bennington Township, Precinct 1",3,10,5,0
1551188000001,"Burns Township, Precinct 1",3,3,4,0
1551252000001,"Caledonia Charter Township, Precinct 1",16,21,9,0
1552704000001,"Fairfield Township, Precinct 1",0,0,0,0
1553744000001,"Hazelton Township, Precinct 1",2,3,2,0
1555368000001,"Middlebury Township, Precinct 1",1,2,0,0
1555740000001,"New Haven Township, Precinct 1",2,6,0,0
1556196000001,"Owosso Charter Township, Precinct 1",6,5,3,0
1556196000002,"Owosso Charter Township, Precinct 2",9,6,6,0
1556372000001,"Perry Township, Precinct 1",0,4,0,0
1556372000002,"Perry Township, Precinct 2",0,1,1,0
1557026000001,"Rush Township, Precinct 1",1,2,3,0
1557196000001,"Sciota Township, Precinct 1",0,4,7,0
1557352000001,"Shiawassee Township, Precinct 1",6,10,2,0
1558188000001,"Venice Township, Precinct 1",2,3,5,0
1558204000001,"Vernon Township, Precinct 1",3,1,0,0
1558204000002,"Vernon Township, Precinct 2",3,2,1,0
1558840000001,"Woodhull Township, Precinct 1",0,4,8,0
