id,name,Bridget Brink,William Lawrence,Matt Maasdam,Write-in
1551830000001,"City of Corunna, Precinct 1",123,114,105,1
1552350000001,"City of Durand, Precinct 1",20,26,18,1
1552350000002,"City of Durand, Precinct 2",29,48,26,1
1554420000001,"City of Laingsburg, Precinct 1",51,56,56,1
1556194000001,"City of Owosso, Precinct 1",55,87,47,1
1556194002001,"City of Owosso, Precinct 2",41,70,49,3
1556194000003,"City of Owosso, Precinct 3",49,59,35,2
1556194000004,"City of Owosso, Precinct 4",51,72,22,1
1556194000005,"City of Owosso, Precinct 5",30,53,29,0
1556194000006,"City of Owosso, Precinct 6",40,62,33,1
1556370000001,"City of Perry, Precinct 1",71,82,81,0
1550312000001,"Antrim Township, Precinct 1",35,22,41,0
1550728000001,"Bennington Township, Precinct 1",51,57,48,2
1551188000001,"Burns Township, Precinct 1",40,51,24,0
1551252000001,"Caledonia Charter Township, Precinct 1",62,57,47,1
1552704000001,"Fairfield Township, Precinct 1",27,17,18,0
1553744000001,"Hazelton Township, Precinct 1",100,87,64,0
1555368000001,"Middlebury Township, Precinct 1",34,35,52,0
1555740000001,"New Haven Township, Precinct 1",73,49,47,0
1556196000001,"Owosso Charter Township, Precinct 1",49,51,40,0
1556196000002,"Owosso Charter Township, Precinct 2",46,34,47,0
1556372000001,"Perry Township, Precinct 1",27,31,19,1
1556372000002,"Perry Township, Precinct 2",15,36,32,0
1557026000001,"Rush Township, Precinct 1",70,44,34,1
1557196000001,"Sciota Township, Precinct 1",27,55,36,0
1557352000001,"Shiawassee Township, Precinct 1",123,95,122,1
1558188000001,"Venice Township, Precinct 1",79,48,71,1
1558204000001,"Vernon Township, Precinct 1",38,28,33,1
1558204000002,"Vernon Township, Precinct 2",35,48,17,0
1558840000001,"Woodhull Township, Precinct 1",37,91,55,0
