id,name,Tom Barrett,Write-in
1551830000001,"City of Corunna, Precinct 1",0,0
1552350000001,"City of Durand, Precinct 1",46,0
1552350000002,"City of Durand, Precinct 2",72,0
1554420000001,"City of Laingsburg, Precinct 1",0,0
1556194000001,"City of Owosso, Precinct 1",99,0
1556194002001,"City of Owosso, Precinct 2",137,0
1556194000003,"City of Owosso, Precinct 3",48,0
1556194000004,"City of Owosso, Precinct 4",38,0
1556194000005,"City of Owosso, Precinct 5",51,1
1556194000006,"City of Owosso, Precinct 6",51,0
1556370000001,"City of Perry, Precinct 1",0,0
1550312000001,"Antrim Township, Precinct 1",229,0
1550728000001,"Bennington Township, Precinct 1",190,0
1551188000001,"Burns Township, Precinct 1",202,0
1551252000001,"Caledonia Charter Township, Precinct 1",206,1
1552704000001,"Fairfield Township, Precinct 1",0,0
1553744000001,"Hazelton Township, Precinct 1",0,0
1555368000001,"Middlebury Township, Precinct 1",0,0
1555740000001,"New Haven Township, Precinct 1",0,0
1556196000001,"Owosso Charter Township, Precinct 1",142,1
1556196000002,"Owosso Charter Township, Precinct 2",131,1
1556372000001,"Perry Township, Precinct 1",100,0
1556372000002,"Perry Township, Precinct 2",95,0
1557026000001,"Rush Township, Precinct 1",0,0
1557196000001,"Sciota Township, Precinct 1",66,1
1557352000001,"Shiawassee Township, Precinct 1",0,0
1558188000001,"Venice Township, Precinct 1",0,0
1558204000001,"Vernon Township, Precinct 1",94,0
1558204000002,"Vernon Township, Precinct 2",52,0
1558840000001,"Woodhull Township, Precinct 1",212,1
