id,name,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Write-in
1551830000001,"City of Corunna, Precinct 1",180,28,194,0
1552350000001,"City of Durand, Precinct 1",75,9,85,0
1552350000002,"City of Durand, Precinct 2",125,8,82,0
1554420000001,"City of Laingsburg, Precinct 1",78,16,74,0
1556194000001,"City of Owosso, Precinct 1",276,38,204,0
1556194002001,"City of Owosso, Precinct 2",222,23,215,2
1556194000003,"City of Owosso, Precinct 3",187,18,125,0
1556194000004,"City of Owosso, Precinct 4",139,15,106,0
1556194000005,"City of Owosso, Precinct 5",119,18,124,0
1556194000006,"City of Owosso, Precinct 6",126,17,138,0
1556370000001,"City of Perry, Precinct 1",118,19,107,0
1550312000001,"Antrim Township, Precinct 1",82,10,112,0
1550728000001,"Bennington Township, Precinct 1",169,27,228,0
1551188000001,"Burns Township, Precinct 1",152,34,191,0
1551252000001,"Caledonia Charter Township, Precinct 1",239,51,378,0
1552704000001,"Fairfield Township, Precinct 1",18,2,41,0
1553744000001,"Hazelton Township, Precinct 1",103,22,166,0
1555368000001,"Middlebury Township, Precinct 1",48,2,78,0
1555740000001,"New Haven Township, Precinct 1",64,11,116,0
1556196000001,"Owosso Charter Township, Precinct 1",144,27,233,0
1556196000002,"Owosso Charter Township, Precinct 2",148,20,183,0
1556372000001,"Perry Township, Precinct 1",99,11,108,0
1556372000002,"Perry Township, Precinct 2",93,13,117,0
1557026000001,"Rush Township, Precinct 1",54,10,103,0
1557196000001,"Sciota Township, Precinct 1",133,12,152,0
1557352000001,"Shiawassee Township, Precinct 1",142,34,207,0
1558188000001,"Venice Township, Precinct 1",78,7,132,0
1558204000001,"Vernon Township, Precinct 1",104,19,168,0
1558204000002,"Vernon Township, Precinct 2",83,15,124,0
1558840000001,"Woodhull Township, Precinct 1",319,24,280,1
