id,name,Jocelyn Benson,Christopher Robert Swanson,Write-in,Justin Blackburn
1491194000001,"Burr Oak Township, Precinct 1",132,18,0,0
1491737000001,"Colon Township, Precinct 1",178,26,1,0
1491786000001,"Constantine Township, Precinct 1",134,21,0,0
1491786000002,"Constantine Township, Precinct 2",57,29,0,0
1492692000001,"Fabius Township, Precinct 1",304,45,0,0
1492754000001,"Fawn River Township, Precinct 1",67,12,0,0
1492906000001,"Florence Township, Precinct 1",54,8,0,0
1492914000001,"Flowerfield Township, Precinct 1",115,29,0,0
1494702000001,"Leonidas Township, Precinct 1",62,11,1,0
1494906000001,"Lockport Township, Precinct 1",328,80,0,0
1495300000001,"Mendon Township, Precinct 1",236,32,1,0
1495578000001,"Mottville Township, Precinct 1",53,11,0,0
1495940000001,"Nottawa Township, Precinct 1",234,41,1,0
1496248000001,"Park Township, Precinct 1",173,39,0,0
1497330000001,"Sherman Township, Precinct 1",233,15,1,0
1497698000001,"Sturgis Township, Precinct 1",92,14,0,0
1498694000001,"White Pigeon Township, Precinct 1",225,31,0,0
1497696000001,"City of Sturgis, Precinct 1",224,29,0,0
1497696000002,"City of Sturgis, Precinct 2",88,15,1,0
1497696000003,"City of Sturgis, Precinct 3",51,25,0,0
1497696000004,"City of Sturgis, Precinct 4",146,28,1,0
1497976000001,"City of Three Rivers, Precinct 1",302,62,1,0
1497976000002,"City of Three Rivers, Precinct 2",275,58,2,0
