id,name,Mike Cox,John James,Perry Johnson,Aric Nesbitt,Write-in
1491194000001,"Burr Oak Township, Precinct 1",1,7,5,0,0
1491737000001,"Colon Township, Precinct 1",1,3,7,0,0
1491786000001,"Constantine Township, Precinct 1",1,6,4,0,0
1491786000002,"Constantine Township, Precinct 2",0,1,1,0,0
1492692000001,"Fabius Township, Precinct 1",0,3,5,0,0
1492754000001,"Fawn River Township, Precinct 1",0,3,0,0,0
1492906000001,"Florence Township, Precinct 1",1,6,6,0,0
1492914000001,"Flowerfield Township, Precinct 1",1,4,3,0,0
1494702000001,"Leonidas Township, Precinct 1",0,0,3,0,0
1494906000001,"Lockport Township, Precinct 1",0,16,11,0,0
1495300000001,"Mendon Township, Precinct 1",0,5,4,1,0
1495578000001,"Mottville Township, Precinct 1",0,1,2,1,0
1495940000001,"Nottawa Township, Precinct 1",5,25,23,2,0
1496248000001,"Park Township, Precinct 1",0,7,3,1,0
1497330000001,"Sherman Township, Precinct 1",1,12,15,0,0
1497698000001,"Sturgis Township, Precinct 1",0,1,4,0,0
1498694000001,"White Pigeon Township, Precinct 1",0,5,1,0,0
1497696000001,"City of Sturgis, Precinct 1",1,3,2,0,0
1497696000002,"City of Sturgis, Precinct 2",0,1,3,0,0
1497696000003,"City of Sturgis, Precinct 3",0,1,0,0,0
1497696000004,"City of Sturgis, Precinct 4",0,0,2,0,0
1497976000001,"City of Three Rivers, Precinct 1",0,5,2,0,0
1497976000002,"City of Three Rivers, Precinct 2",0,2,1,0,0
