id,name,Christian Vukasovich,Write-in
1491194000001,"Burr Oak Township, Precinct 1",131,0
1491737000001,"Colon Township, Precinct 1",184,0
1491786000001,"Constantine Township, Precinct 1",131,0
1491786000002,"Constantine Township, Precinct 2",75,0
1492692000001,"Fabius Township, Precinct 1",296,1
1492754000001,"Fawn River Township, Precinct 1",67,0
1492906000001,"Florence Township, Precinct 1",42,0
1492914000001,"Flowerfield Township, Precinct 1",114,1
1494702000001,"Leonidas Township, Precinct 1",63,0
1494906000001,"Lockport Township, Precinct 1",97,0
1495300000001,"Mendon Township, Precinct 1",231,1
1495578000001,"Mottville Township, Precinct 1",54,0
1495940000001,"Nottawa Township, Precinct 1",90,1
1496248000001,"Park Township, Precinct 1",177,0
1497330000001,"Sherman Township, Precinct 1",219,0
1497698000001,"Sturgis Township, Precinct 1",99,1
1498694000001,"White Pigeon Township, Precinct 1",71,1
1497696000001,"City of Sturgis, Precinct 1",108,0
1497696000002,"City of Sturgis, Precinct 2",47,0
1497696000003,"City of Sturgis, Precinct 3",42,0
1497696000004,"City of Sturgis, Precinct 4",57,2
1497976000001,"City of Three Rivers, Precinct 1",129,1
1497976000002,"City of Three Rivers, Precinct 2",115,3
