id,name,Christian Vukasovich,Write-in
1491194000001,"Burr Oak Township, Precinct 1",133,0
1491737000001,"Colon Township, Precinct 1",184,0
1491786000001,"Constantine Township, Precinct 1",136,0
1491786000002,"Constantine Township, Precinct 2",78,0
1492692000001,"Fabius Township, Precinct 1",302,1
1492754000001,"Fawn River Township, Precinct 1",68,0
1492906000001,"Florence Township, Precinct 1",45,0
1492914000001,"Flowerfield Township, Precinct 1",116,1
1494702000001,"Leonidas Township, Precinct 1",65,0
1494906000001,"Lockport Township, Precinct 1",364,1
1495300000001,"Mendon Township, Precinct 1",242,1
1495578000001,"Mottville Township, Precinct 1",54,0
1495940000001,"Nottawa Township, Precinct 1",239,2
1496248000001,"Park Township, Precinct 1",186,0
1497330000001,"Sherman Township, Precinct 1",229,0
1497698000001,"Sturgis Township, Precinct 1",100,1
1498694000001,"White Pigeon Township, Precinct 1",221,1
1497696000001,"City of Sturgis, Precinct 1",226,2
1497696000002,"City of Sturgis, Precinct 2",96,0
1497696000003,"City of Sturgis, Precinct 3",70,0
1497696000004,"City of Sturgis, Precinct 4",153,3
1497976000001,"City of Three Rivers, Precinct 1",315,2
1497976000002,"City of Three Rivers, Precinct 2",290,3
