id,name,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Write-in
1491194000001,"Burr Oak Township, Precinct 1",63,7,80,0
1491737000001,"Colon Township, Precinct 1",68,14,125,0
1491786000001,"Constantine Township, Precinct 1",53,8,90,0
1491786000002,"Constantine Township, Precinct 2",51,3,31,0
1492692000001,"Fabius Township, Precinct 1",151,30,162,0
1492754000001,"Fawn River Township, Precinct 1",30,2,46,0
1492906000001,"Florence Township, Precinct 1",25,4,30,0
1492914000001,"Flowerfield Township, Precinct 1",71,2,69,0
1494702000001,"Leonidas Township, Precinct 1",34,3,36,0
1494906000001,"Lockport Township, Precinct 1",63,5,43,0
1495300000001,"Mendon Township, Precinct 1",104,17,138,0
1495578000001,"Mottville Township, Precinct 1",30,8,27,0
1495940000001,"Nottawa Township, Precinct 1",61,2,39,0
1496248000001,"Park Township, Precinct 1",87,13,105,0
1497330000001,"Sherman Township, Precinct 1",90,17,137,0
1497698000001,"Sturgis Township, Precinct 1",41,5,62,0
1498694000001,"White Pigeon Township, Precinct 1",54,2,34,0
1497696000001,"City of Sturgis, Precinct 1",78,3,42,0
1497696000002,"City of Sturgis, Precinct 2",42,0,10,0
1497696000003,"City of Sturgis, Precinct 3",40,2,4,0
1497696000004,"City of Sturgis, Precinct 4",42,2,19,0
1497976000001,"City of Three Rivers, Precinct 1",115,2,43,0
1497976000002,"City of Three Rivers, Precinct 2",89,5,46,0
