id,name,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Write-in
1491194000001,"Burr Oak Township, Precinct 1",65,7,80,0
1491737000001,"Colon Township, Precinct 1",68,14,125,0
1491786000001,"Constantine Township, Precinct 1",58,8,91,0
1491786000002,"Constantine Township, Precinct 2",54,3,31,0
1492692000001,"Fabius Township, Precinct 1",157,30,162,0
1492754000001,"Fawn River Township, Precinct 1",31,2,46,0
1492906000001,"Florence Township, Precinct 1",28,4,30,0
1492914000001,"Flowerfield Township, Precinct 1",72,2,70,0
1494702000001,"Leonidas Township, Precinct 1",36,3,36,0
1494906000001,"Lockport Township, Precinct 1",178,25,205,0
1495300000001,"Mendon Township, Precinct 1",108,17,145,0
1495578000001,"Mottville Township, Precinct 1",30,8,27,0
1495940000001,"Nottawa Township, Precinct 1",107,10,159,0
1496248000001,"Park Township, Precinct 1",94,13,108,0
1497330000001,"Sherman Township, Precinct 1",93,17,146,0
1497698000001,"Sturgis Township, Precinct 1",41,5,63,0
1498694000001,"White Pigeon Township, Precinct 1",113,27,120,0
1497696000001,"City of Sturgis, Precinct 1",125,10,120,0
1497696000002,"City of Sturgis, Precinct 2",66,8,31,0
1497696000003,"City of Sturgis, Precinct 3",57,2,18,0
1497696000004,"City of Sturgis, Precinct 4",81,8,84,0
1497976000001,"City of Three Rivers, Precinct 1",220,12,144,0
1497976000002,"City of Three Rivers, Precinct 2",179,22,137,0
