id,name,Mike Rogers,Write-in
1491194000001,"Burr Oak Township, Precinct 1",279,0
1491737000001,"Colon Township, Precinct 1",393,1
1491786000001,"Constantine Township, Precinct 1",229,1
1491786000002,"Constantine Township, Precinct 2",121,0
1492692000001,"Fabius Township, Precinct 1",502,0
1492754000001,"Fawn River Township, Precinct 1",149,1
1492906000001,"Florence Township, Precinct 1",149,1
1492914000001,"Flowerfield Township, Precinct 1",251,0
1494702000001,"Leonidas Township, Precinct 1",154,0
1494906000001,"Lockport Township, Precinct 1",217,3
1495300000001,"Mendon Township, Precinct 1",400,1
1495578000001,"Mottville Township, Precinct 1",162,1
1495940000001,"Nottawa Township, Precinct 1",247,2
1496248000001,"Park Township, Precinct 1",337,1
1497330000001,"Sherman Township, Precinct 1",477,4
1497698000001,"Sturgis Township, Precinct 1",216,1
1498694000001,"White Pigeon Township, Precinct 1",254,1
1497696000001,"City of Sturgis, Precinct 1",154,0
1497696000002,"City of Sturgis, Precinct 2",59,1
1497696000003,"City of Sturgis, Precinct 3",65,0
1497696000004,"City of Sturgis, Precinct 4",107,1
1497976000001,"City of Three Rivers, Precinct 1",154,1
1497976000002,"City of Three Rivers, Precinct 2",128,0
