id,name,Mike Rogers,Write-in
1491194000001,"Burr Oak Township, Precinct 1",290,0
1491737000001,"Colon Township, Precinct 1",404,1
1491786000001,"Constantine Township, Precinct 1",240,1
1491786000002,"Constantine Township, Precinct 2",123,0
1492692000001,"Fabius Township, Precinct 1",510,0
1492754000001,"Fawn River Township, Precinct 1",152,1
1492906000001,"Florence Township, Precinct 1",161,1
1492914000001,"Flowerfield Township, Precinct 1",259,0
1494702000001,"Leonidas Township, Precinct 1",156,0
1494906000001,"Lockport Township, Precinct 1",443,3
1495300000001,"Mendon Township, Precinct 1",409,1
1495578000001,"Mottville Township, Precinct 1",166,1
1495940000001,"Nottawa Township, Precinct 1",450,2
1496248000001,"Park Township, Precinct 1",348,1
1497330000001,"Sherman Township, Precinct 1",504,4
1497698000001,"Sturgis Township, Precinct 1",219,2
1498694000001,"White Pigeon Township, Precinct 1",459,3
1497696000001,"City of Sturgis, Precinct 1",267,2
1497696000002,"City of Sturgis, Precinct 2",90,1
1497696000003,"City of Sturgis, Precinct 3",114,0
1497696000004,"City of Sturgis, Precinct 4",186,1
1497976000001,"City of Three Rivers, Precinct 1",259,2
1497976000002,"City of Three Rivers, Precinct 2",212,1
