id,name,ballots,registered,turnout
1590514000001,"City of Bangor, Precinct 1",217.0,1265,17.15
1593264000001,"City of Gobles, Precinct 1",166.0,607,27.35
1593696000001,"City of Hartford, Precinct 1",332.0,1596,20.8
1597498001001,"City of South Haven, Ward 1, Precinct 1",443.0,907,48.84
1597498002001,"City of South Haven, Ward 2, Precinct 1",444.0,1130,39.29
1597498003001,"City of South Haven, Ward 3, Precinct 1",485.0,1071,45.28
1597498003002,"City of South Haven, Ward 3, Precinct 2",7.0,10,70.0
1590160000001,"Almena Township, Precinct 1",942.0,2558,36.83
1590160000002,"Almena Township, Precinct 2",632.0,1761,35.89
1590314000001,"Antwerp Township, Precinct 1",437.0,1758,24.86
1590314000002,"Antwerp Township, Precinct 2",885.0,2695,32.84
1590314000003,"Antwerp Township, Precinct 3",480.0,1595,30.09
1590314000004,"Antwerp Township, Precinct 4",570.0,2353,24.22
1590314000005,"Antwerp Township, Precinct 5",747.0,2245,33.27
1590350000001,"Arlington Township, Precinct 1",400.0,1471,27.19
1590516000001,"Bangor Township, Precinct 1",380.0,1378,27.58
1590924000001,"Bloomingdale Township, Precinct 1",770.0,2242,34.34
1591744000001,"Columbia Township, Precinct 1",506.0,1786,28.33
1591856000001,"Covert Township, Precinct 1",369.0,1701,21.69
1592106000001,"Decatur Township, Precinct 1",609.0,2603,23.4
1593184000001,"Geneva Township, Precinct 1",679.0,2491,27.26
1593618000001,"Hamilton Township, Precinct 1",300.0,998,30.06
1593698000001,"Hartford Township, Precinct 1",452.0,2019,22.39
1594250000001,"Keeler Township, Precinct 1",430.0,1427,30.13
1594646000001,"Lawrence Township, Precinct 1",661.0,2273,29.08
1596300000001,"Paw Paw Township, Precinct 1",688.0,2472,27.83
1596300000002,"Paw Paw Township, Precinct 2",1085.0,2940,36.9
1596428000001,"Pine Grove Township, Precinct 1",837.0,2384,35.11
1596576000001,"Porter Township, Precinct 1",798.0,2160,36.94
1597500000001,"South Haven Charter Township, Precinct 1",574.0,1995,28.77
1597500000002,"South Haven Charter Township, Precinct 2",345.0,1053,32.76
1598482000001,"Waverly Township, Precinct 1",586.0,1900,30.84
