name,id,Abdul El-Sayed,Mallory McMorrow,Haley Stevens
"Ypsilanti Township, Precinct 3",1618916000003,462,31,296
"Augusta Township, Precinct 2",1610418000002,387,44,438
"Ypsilanti Township, Precinct 11",1618916000011,726,43,473
"Northfield Township, Precinct 2",1615828000002,275,20,221
"City of Ypsilanti, Ward 3, Precinct 2",1618914003002,1121,29,230
"Ypsilanti Township, Precinct 1",1618916000001,429,13,174
"Ypsilanti Township, Precinct 6",1618916000006,800,41,584
"Lyndon Township, Precinct 1",1614978000001,358,31,298
"City of Chelsea, Precinct 2",1611502000002,447,25,326
"City of Dexter, Precinct 2",1612216000002,343,28,257
"Scio Township, Precinct 1",1617194000001,520,28,328
"Dexter Township, Precinct 2",1612218000002,316,20,281
"Ypsilanti Township, Precinct 2",1618916000002,514,21,234
"Webster Township, Precinct 2",1618510000002,483,25,386
"Northfield Township, Precinct 1",1615828000001,364,32,278
"Ypsilanti Township, Precinct 9",1618916000009,821,44,655
"York Township, Precinct 2",1618910000002,611,57,464
"Northfield Township, Precinct 3",1615828000003,247,13,161
"Lodi Township, Precinct 2",1614912000002,214,10,184
"City of Ypsilanti, Ward 1, Precinct 1",1618914001001,186,7,156
"Superior Township, Precinct 3",1617756000003,262,4,206
"Bridgewater Township, Precinct 1",1611056000001,151,12,109
"City of Chelsea, Precinct 1",1611502000001,658,37,358
"Superior Township, Precinct 5",1617756000005,490,28,367
"Salem Township, Precinct 1",1617113000001,161,16,175
"Pittsfield Charter Township, Precinct 4",1616456000004,609,39,329
"Sylvan Township, Precinct 1",1617780000001,495,26,425
"Superior Township, Precinct 4",1617756000004,371,15,295
"Superior Township, Precinct 1",1617756000001,376,21,276
"Ypsilanti Township, Precinct 7",1618916000007,764,39,458
"Augusta Township, Precinct 1",1610418000001,351,22,224
"Saline Township, Precinct 1",1617116000001,255,10,185
"Salem Township, Precinct 2",1617113000002,192,15,193
"Dexter Township, Precinct 3",1612218000003,186,8,179
"Lima Township, Precinct 1",1614746000001,616,26,381
"Ypsilanti Township, Precinct 5",1618916000005,523,21,277
"Salem Township, Precinct 3",1617113000003,130,6,147
"Ypsilanti Township, Precinct 8",1618916000008,815,36,444
"Freedom Township, Precinct 1",1613052000001,166,5,142
"Superior Township, Precinct 2",1617756000002,564,29,419
"City of Ypsilanti, Ward 1, Precinct 2",1618914001002,488,5,145
"Scio Township, Precinct 3",1617194000003,896,37,764
"Dexter Township, Precinct 1",1612218000001,467,23,310
"Sharon Township, Precinct 1",1617276000001,168,13,164
"Pittsfield Charter Township, Precinct 8",1616456000008,607,26,212
"Pittsfield Charter Township, Precinct 9",1616456000009,629,29,326
"Scio Township, Precinct 5",1617194000005,697,29,422
"Lodi Township, Precinct 1",1614912000001,647,55,473
"City of Saline, Precinct 2",1617114000002,877,40,475
"Pittsfield Charter Township, Precinct 6",1616456000006,833,27,253
"Pittsfield Charter Township, Precinct 7",1616456000007,942,41,467
"Pittsfield Charter Township, Precinct 5",1616456000005,599,25,251
"City of Dexter, Precinct 1",1612216000001,443,42,344
"Manchester Township, Precinct 2",1615068000002,237,14,215
"City of Ypsilanti, Ward 2, Precinct 1",1618914002001,1315,26,443
"York Township, Precinct 1",1618910000001,200,13,237
"Scio Township, Precinct 2",1617194000002,750,53,564
"City of Manchester, Precinct 1",1615066000001,253,13,182
"City of Milan, Precinct 1W",,589,22,277
"Ypsilanti Township, Precinct 4",1618916000004,931,41,444
"Pittsfield Charter Township, Precinct 3",1616456000003,838,47,735
"Pittsfield Charter Township, Precinct 2",1616456000002,675,74,697
"City of Ypsilanti, Ward 2, Precinct 4",1618914002004,72,3,29
"City of Ypsilanti, Ward 1, Precinct 3",1618914001003,273,18,88
"City of Ypsilanti, Ward 3, Precinct 1",1618914003001,239,2,13
"City of Ann Arbor, Ward 2, Precinct 21",1610300002021,618,34,346
"City of Ann Arbor, Ward 1, Precinct 10",1610300001010,658,28,331
"City of Ann Arbor, Ward 2, Precinct 18",1610300002018,570,32,326
"City of Ann Arbor, Ward 2, Precinct 13",1610300002013,528,42,434
"City of Ann Arbor, Ward 1, Precinct 5",1610300001005,527,14,169
"City of Ann Arbor, Ward 5, Precinct 51",1610300005051,693,38,275
"City of Ann Arbor, Ward 1, Precinct 6",1610300001006,281,10,88
"City of Ann Arbor, Ward 1, Precinct 7",1610300001007,86,1,10
"City of Ann Arbor, Ward 5, Precinct 50",1610300005050,790,25,318
"City of Ann Arbor, Ward 1, Precinct 4",1610300001004,205,1,52
"City of Ann Arbor, Ward 5, Precinct 44",1610300005044,419,10,139
"City of Ann Arbor, Ward 2, Precinct 19",1610300002019,512,29,417
"City of Ann Arbor, Ward 5, Precinct 49",1610300005049,389,26,197
"City of Ann Arbor, Ward 2, Precinct 14",1610300002014,144,6,74
"City of Ann Arbor, Ward 5, Precinct 42",1610300005042,256,13,106
"City of Ann Arbor, Ward 5, Precinct 43",1610300005043,645,37,272
"City of Ann Arbor, Ward 5, Precinct 47",1610300005047,645,24,344
"City of Ann Arbor, Ward 3, Precinct 23",1610300003023,131,8,53
"City of Ann Arbor, Ward 4, Precinct 31",1610300004031,59,0,11
"City of Ann Arbor, Ward 4, Precinct 32",1610300004032,101,1,9
"City of Ann Arbor, Ward 5, Precinct 48",1610300005048,323,12,119
"City of Ann Arbor, Ward 3, Precinct 22",1610300003022,92,0,15
"City of Ann Arbor, Ward 4, Precinct 33",1610300004033,1043,27,363
"City of Ann Arbor, Ward 4, Precinct 34",1610300004034,638,32,315
"City of Ann Arbor, Ward 4, Precinct 37",1610300004037,710,34,411
"City of Ann Arbor, Ward 3, Precinct 29",1610300003029,677,22,235
"City of Ann Arbor, Ward 4, Precinct 36",1610300004036,576,25,315
"City of Ann Arbor, Ward 3, Precinct 30",1610300003030,533,34,261
"City of Ann Arbor, Ward 3, Precinct 26",1610300003026,526,28,200
"City of Ann Arbor, Ward 3, Precinct 27",1610300003027,458,17,156
