name,ballots,Jocelyn Benson,Christopher Robert Swanson,Write-in,id
"Canton Township, Precinct 1",947,602,66,2,1631312000001.0
"Canton Township, Precinct 10",754,454,58,0,1631312000010.0
"Canton Township, Precinct 11",563,350,51,1,1631312000011.0
"Canton Township, Precinct 12",1018,602,49,0,1631312000012.0
"Canton Township, Precinct 13",1060,618,87,1,1631312000013.0
"Canton Township, Precinct 14",1175,715,61,1,1631312000014.0
"Canton Township, Precinct 15",1290,730,112,1,1631312000015.0
"Canton Township, Precinct 16",1083,655,99,1,1631312000016.0
"Canton Township, Precinct 17",1119,691,151,5,1631312000017.0
"Canton Township, Precinct 18",1180,691,109,2,1631312000018.0
"Canton Township, Precinct 19",934,484,80,4,1631312000019.0
"Canton Township, Precinct 2",1082,628,77,0,1631312000002.0
"Canton Township, Precinct 20",903,421,50,4,1631312000020.0
"Canton Township, Precinct 3",1234,727,118,2,1631312000003.0
"Canton Township, Precinct 4",963,592,97,0,1631312000004.0
"Canton Township, Precinct 5",679,408,64,1,1631312000005.0
"Canton Township, Precinct 6",350,222,30,1,1631312000006.0
"Canton Township, Precinct 7",909,531,96,1,1631312000007.0
"Canton Township, Precinct 8",904,549,98,4,1631312000008.0
"Canton Township, Precinct 9",798,448,73,2,1631312000009.0
"Charter Township of Brownstown, Precinct 1",501,261,36,1,1631122000001.0
"Charter Township of Brownstown, Precinct 10",436,210,21,1,1631122000010.0
"Charter Township of Brownstown, Precinct 11",263,125,26,0,1631122000011.0
"Charter Township of Brownstown, Precinct 12",374,156,14,0,1631122000012.0
"Charter Township of Brownstown, Precinct 2",384,219,28,0,1631122000002.0
"Charter Township of Brownstown, Precinct 3",570,343,30,1,1631122000003.0
"Charter Township of Brownstown, Precinct 4",952,473,35,1,1631122000004.0
"Charter Township of Brownstown, Precinct 5",406,211,28,1,1631122000005.0
"Charter Township of Brownstown, Precinct 6",540,276,34,0,1631122000006.0
"Charter Township of Brownstown, Precinct 7",401,197,37,1,1631122000007.0
"Charter Township of Brownstown, Precinct 8",369,223,29,0,1631122000008.0
"Charter Township of Brownstown, Precinct 9",379,233,38,1,1631122000009.0
"Charter Township of Huron, Precinct 1",586,274,37,1,1634004000001.0
"Charter Township of Huron, Precinct 2",518,228,37,0,1634004000002.0
"Charter Township of Huron, Precinct 3",872,435,56,2,1634004000003.0
"Charter Township of Huron, Precinct 4",474,229,24,0,1634004000004.0
"Charter Township of Northville, Precinct 1",1006,530,68,2,1635900000001.0
"Charter Township of Northville, Precinct 10",776,377,58,0,1635900000010.0
"Charter Township of Northville, Precinct 2",811,446,71,0,1635900000002.0
"Charter Township of Northville, Precinct 3",644,341,45,1,1635900000003.0
"Charter Township of Northville, Precinct 4",818,385,33,0,1635900000004.0
