name,ballots,Mike Cox,John James,Perry Johnson,Aric Nesbitt,Write-in,id
"City of Allen Park, Precinct 1",230,8,34,21,0,0,1630138000001.0
"City of Allen Park, Precinct 2",407,10,69,51,1,0,1630138000002.0
"City of Allen Park, Precinct 3",520,24,80,77,1,0,1630138000003.0
"City of Allen Park, Precinct 4",375,10,58,41,0,0,1630138000004.0
"City of Allen Park, Precinct 5",377,16,62,43,0,0,1630138000005.0
"City of Allen Park, Precinct 6",451,21,73,68,1,0,1630138000006.0
"City of Allen Park, Precinct 7",517,21,75,88,1,0,1630138000007.0
"City of Allen Park, Precinct 8",190,7,42,20,2,0,1630138000008.0
"City of Belleville, Precinct 1",411,24,55,58,0,0,1630702000001.0
"Charter Township of Brownstown, Precinct 1",184,3,42,31,1,0,1631122000001.0
"Charter Township of Brownstown, Precinct 2",190,2,40,24,0,0,1631122000002.0
"Charter Township of Brownstown, Precinct 3",285,11,52,37,1,0,1631122000003.0
"Charter Township of Brownstown, Precinct 4",284,13,62,43,0,0,1631122000004.0
"Charter Township of Brownstown, Precinct 5",230,8,36,32,0,0,1631122000005.0
"Charter Township of Brownstown, Precinct 6",266,7,62,41,0,1,1631122000006.0
"Charter Township of Brownstown, Precinct 7",215,14,58,35,0,0,1631122000007.0
"Charter Township of Brownstown, Precinct 8",283,11,66,43,0,0,1631122000008.0
"Charter Township of Brownstown, Precinct 9",199,6,39,26,0,1,1631122000009.0
"Charter Township of Brownstown, Precinct 10",260,5,51,35,1,0,1631122000010.0
"Charter Township of Brownstown, Precinct 11",210,17,44,47,3,0,1631122000011.0
"Charter Township of Brownstown, Precinct 12",240,7,51,39,1,1,1631122000012.0
"Canton Township, Precinct 1",299,2,42,26,0,0,1631312000001.0
"Canton Township, Precinct 2",356,5,59,26,0,0,1631312000002.0
"Canton Township, Precinct 3",523,8,61,33,0,0,1631312000003.0
"Canton Township, Precinct 4",411,9,56,25,0,0,1631312000004.0
"Canton Township, Precinct 5",318,8,54,22,0,0,1631312000005.0
"Canton Township, Precinct 6",221,2,36,13,0,0,1631312000006.0
"Canton Township, Precinct 7",461,11,56,27,1,0,1631312000007.0
"Canton Township, Precinct 8",517,8,43,23,1,0,1631312000008.0
"Canton Township, Precinct 9",383,3,34,35,0,0,1631312000009.0
"Canton Township, Precinct 10",376,6,49,29,1,0,1631312000010.0
"Canton Township, Precinct 11",319,8,41,29,0,0,1631312000011.0
"Canton Township, Precinct 12",399,18,62,41,0,0,1631312000012.0
"Canton Township, Precinct 13",435,14,74,46,0,0,1631312000013.0
"Canton Township, Precinct 14",494,14,75,62,1,0,1631312000014.0
"Canton Township, Precinct 15",605,8,103,61,0,0,1631312000015.0
"Canton Township, Precinct 16",615,8,74,39,0,0,1631312000016.0
"Canton Township, Precinct 17",660,8,80,25,1,0,1631312000017.0
"Canton Township, Precinct 18",581,8,68,35,1,0,1631312000018.0
"Canton Township, Precinct 19",486,12,59,41,1,0,1631312000019.0
"Canton Township, Precinct 20",428,11,59,41,0,0,1631312000020.0
"City of Dearborn, Precinct 1",366,1,5,6,0,0,1632100000001.0
"City of Dearborn, Precinct 2",279,0,3,3,0,0,1632100000002.0
"City of Dearborn, Precinct 3",457,1,10,8,0,0,1632100000003.0
"City of Dearborn, Precinct 4",518,1,2,7,0,0,1632100000004.0
"City of Dearborn, Precinct 6",374,0,1,2,0,0,1632100000006.0
