name,ballots,Shanelle Jackson,Byron H. Nolen,Rashida Tlaib,Write-in,id
"City of Dearborn, Precinct 1",485,8,11,424,1,1632100000001
"City of Dearborn, Precinct 2",440,2,12,382,1,1632100000002
"City of Dearborn, Precinct 3",667,15,15,548,3,1632100000003
"City of Dearborn, Precinct 4",678,7,8,599,2,1632100000004
"City of Dearborn, Precinct 6",546,5,6,499,2,1632100000006
"City of Dearborn, Precinct 7",645,9,13,552,2,1632100000007
"City of Dearborn, Precinct 8",437,5,8,371,0,1632100000008
"City of Dearborn, Precinct 9",458,8,12,409,0,1632100000009
"City of Dearborn, Precinct 10",420,7,10,352,2,1632100000010
"City of Dearborn, Precinct 11",327,5,7,277,2,1632100000011
"City of Dearborn, Precinct 12",464,5,12,397,1,1632100000012
"City of Dearborn, Precinct 13",279,46,15,149,0,1632100000013
"City of Dearborn, Precinct 15",446,9,10,374,1,1632100000015
"City of Dearborn, Precinct 16",512,7,14,429,3,1632100000016
"City of Dearborn, Precinct 17",619,15,22,488,3,1632100000017
"City of Dearborn, Precinct 18",637,34,27,492,1,1632100000018
"City of Dearborn, Precinct 19",448,10,12,392,4,1632100000019
"City of Dearborn, Precinct 20",306,7,3,278,0,1632100000020
"City of Dearborn, Precinct 21",422,6,6,361,4,1632100000021
"City of Dearborn, Precinct 22",845,55,59,581,5,1632100000022
"City of Dearborn, Precinct 24",440,39,24,270,2,1632100000024
"City of Dearborn, Precinct 25",664,48,36,382,2,1632100000025
"City of Dearborn, Precinct 26",595,32,46,368,0,1632100000026
"City of Dearborn, Precinct 27",577,48,22,349,2,1632100000027
"City of Dearborn, Precinct 28",367,25,43,209,0,1632100000028
"City of Dearborn, Precinct 29",639,15,70,355,0,1632100000029
"City of Dearborn, Precinct 31",704,43,32,481,2,1632100000031
"City of Dearborn, Precinct 32",637,22,36,398,2,1632100000032
"City of Dearborn, Precinct 33",627,19,32,446,1,1632100000033
"City of Dearborn, Precinct 34",600,30,33,403,0,1632100000034
"City of Dearborn, Precinct 35",983,50,64,657,2,1632100000035
"City of Dearborn, Precinct 37",644,28,47,414,2,1632100000037
"City of Dearborn, Precinct 38",644,31,38,416,2,1632100000038
"City of Dearborn, Precinct 40",594,37,29,426,1,1632100000040
"City of Dearborn, Precinct 41",632,22,67,387,1,1632100000041
"City of Dearborn, Precinct 42",1107,58,63,738,7,1632100000042
"City of Dearborn, Precinct 44",693,47,56,410,1,1632100000044
"City of Dearborn, Precinct 45",665,36,65,396,0,1632100000045
"City of Dearborn, Precinct 46",616,42,50,369,1,1632100000046
"City of Dearborn, Precinct 47",837,64,60,461,1,1632100000047
"City of Dearborn, Precinct 49",621,41,55,342,0,1632100000049
"City of Dearborn, Precinct 50",480,42,19,276,0,1632100000050
"City of Dearborn Heights, Precinct 1",928,34,31,752,3,1632102000001
"City of Dearborn Heights, Precinct 2",1027,40,46,777,3,1632102000002
"City of Dearborn Heights, Precinct 3",768,53,56,454,1,1632102000003
"City of Dearborn Heights, Precinct 4",970,62,65,547,4,1632102000004
"City of Dearborn Heights, Precinct 5",907,29,49,644,1,1632102000005
"City of Dearborn Heights, Precinct 6",787,36,38,517,1,1632102000006
"City of Dearborn Heights, Precinct 7",511,22,16,362,1,1632102000007
"City of Dearborn Heights, Precinct 8",733,26,39,494,3,1632102000008
"City of Dearborn Heights, Precinct 9",968,26,17,764,2,1632102000009
"City of Dearborn Heights, Precinct 10",1260,36,24,1020,5,1632102000010
"City of Dearborn Heights, Precinct 11",337,29,20,203,0,1632102000011
"City of Detroit, Precinct 60",29,6,1,15,0,1632200007060
"City of Detroit, Precinct 223",303,73,17,176,2,1632200002223
"City of Detroit, Precinct 224",534,110,38,329,1,1632200002224
"City of Detroit, Precinct 225",410,84,14,286,0,1632200002225
"City of Detroit, Precinct 226",274,62,14,164,1,1632200002226
"City of Detroit, Precinct 227",237,39,23,154,0,1632200002227
"City of Detroit, Precinct 228",491,102,21,329,0,1632200002228
"City of Detroit, Precinct 229",383,94,21,234,0,1632200002229
"City of Detroit, Precinct 230",474,94,26,305,1,1632200002230
"City of Detroit, Precinct 231",314,69,23,198,0,1632200002231
"City of Detroit, Precinct 232",439,96,32,280,0,1632200002232
"City of Detroit, Precinct 233",539,133,40,317,0,1632200002233
"City of Detroit, Precinct 234",290,74,13,183,0,1632200002234
"City of Detroit, Precinct 236",502,122,32,313,0,1632200002236
"City of Detroit, Precinct 240",345,63,20,237,2,1632200002240
"City of Detroit, Precinct 241",250,69,13,145,0,1632200002241
"City of Detroit, Precinct 242",308,70,17,186,2,1632200002242
"City of Detroit, Precinct 243",155,33,13,95,2,1632200002243
"City of Detroit, Precinct 244",377,75,20,249,2,1632200002244
"City of Detroit, Precinct 246",226,59,8,142,0,1632200002246
"City of Detroit, Precinct 247",328,73,20,198,1,1632200002247
"City of Detroit, Precinct 248",170,35,15,110,0,1632200002248
"City of Detroit, Precinct 249",214,65,10,117,1,1632200002249
"City of Detroit, Precinct 250",263,55,13,162,0,1632200002250
"City of Detroit, Precinct 251",172,44,4,103,0,1632200002251
"City of Detroit, Precinct 252",200,57,15,115,0,1632200002252
"City of Detroit, Precinct 253",203,47,8,130,0,1632200002253
"City of Detroit, Precinct 254",321,75,15,199,0,1632200002254
"City of Detroit, Precinct 256",262,67,12,170,0,1632200002256
"City of Detroit, Precinct 257",562,110,34,373,0,1632200002257
"City of Detroit, Precinct 258",386,73,32,259,1,1632200002258
"City of Detroit, Precinct 261",493,118,22,296,2,1632200001261
"City of Detroit, Precinct 263",648,143,46,401,1,1632200001263
"City of Detroit, Precinct 264",333,57,40,204,0,1632200001264
"City of Detroit, Precinct 265",285,63,15,168,0,1632200001265
"City of Detroit, Precinct 266",27,6,0,14,2,1632200001266
"City of Detroit, Precinct 267",161,31,5,107,0,1632200001267
"City of Detroit, Precinct 268",139,46,5,81,1,1632200001268
"City of Detroit, Precinct 269",187,26,10,123,1,1632200001269
"City of Detroit, Precinct 271",532,121,33,335,2,1632200001271
"City of Detroit, Precinct 272",52,18,1,31,0,1632200001272
"City of Detroit, Precinct 273",131,32,1,78,1,1632200001273
"City of Detroit, Precinct 275",343,83,8,222,0,1632200001275
"City of Detroit, Precinct 276",338,85,15,204,0,1632200001276
"City of Detroit, Precinct 278",310,66,24,199,0,1632200001278
"City of Detroit, Precinct 279",631,179,32,362,1,1632200001279
"City of Detroit, Precinct 280",136,31,5,77,0,1632200001280
"City of Detroit, Precinct 281",466,109,23,300,1,1632200001281
"City of Detroit, Precinct 282",450,81,17,296,0,1632200001282
"City of Detroit, Precinct 283",430,112,17,263,0,1632200001283
"City of Detroit, Precinct 285",375,79,19,234,2,1632200001285
"City of Detroit, Precinct 286",320,75,14,205,0,1632200001286
"City of Detroit, Precinct 287",227,54,7,147,0,1632200001287
"City of Detroit, Precinct 288",219,52,12,137,1,1632200002288
"City of Detroit, Precinct 289",164,35,6,112,0,1632200002289
"City of Detroit, Precinct 290",133,18,6,91,0,1632200002290
"City of Detroit, Precinct 291",339,63,33,208,0,1632200002291
"City of Detroit, Precinct 292",243,45,9,173,1,1632200002292
"City of Detroit, Precinct 293",164,45,5,90,0,1632200002293
"City of Detroit, Precinct 294",283,60,23,163,0,1632200002294
"City of Detroit, Precinct 295",418,87,30,271,0,1632200002295
"City of Detroit, Precinct 296",275,59,28,158,0,1632200002296
"City of Detroit, Precinct 297",311,78,18,182,0,1632200001297
"City of Detroit, Precinct 298",343,71,15,214,0,1632200001298
"City of Detroit, Precinct 299",306,63,24,183,0,1632200001299
"City of Detroit, Precinct 300",183,30,19,103,0,1632200001300
"City of Detroit, Precinct 301",109,14,3,68,0,1632200001301
"City of Detroit, Precinct 302",314,69,21,185,0,1632200001302
"City of Detroit, Precinct 304",122,14,5,81,1,1632200001304
"City of Detroit, Precinct 305",287,74,12,184,1,1632200001305
"City of Detroit, Precinct 306",275,68,6,170,1,1632200001306
"City of Detroit, Precinct 307",269,61,16,162,0,1632200001307
"City of Detroit, Precinct 308",599,164,33,381,0,1632200001308
"City of Detroit, Precinct 309",259,65,11,164,0,1632200001309
"City of Detroit, Precinct 310",293,62,27,180,0,1632200001310
"City of Detroit, Precinct 311",392,97,18,250,0,1632200001311
"City of Detroit, Precinct 312",402,102,12,242,3,1632200001312
"City of Detroit, Precinct 313",225,37,12,146,2,1632200002313
"City of Detroit, Precinct 315",316,87,9,185,0,1632200001315
"City of Detroit, Precinct 316",301,60,17,198,0,1632200001316
"City of Detroit, Precinct 317",179,39,8,111,2,1632200001317
"City of Detroit, Precinct 318",64,9,6,41,1,1632200002318
"City of Detroit, Precinct 319",192,39,3,126,2,1632200001319
"City of Detroit, Precinct 320",260,51,14,162,2,1632200001320
"City of Detroit, Precinct 321",147,30,13,84,0,1632200001321
"City of Detroit, Precinct 323",659,135,22,435,1,1632200001323
"City of Detroit, Precinct 324",554,115,27,378,0,1632200001324
"City of Detroit, Precinct 325",269,32,10,199,0,1632200001325
"City of Detroit, Precinct 326",703,167,35,441,3,1632200001326
"City of Detroit, Precinct 328",188,41,10,125,1,1632200001328
"City of Detroit, Precinct 329",145,25,6,93,0,1632200001329
"City of Detroit, Precinct 330",319,59,10,203,0,1632200007330
"City of Detroit, Precinct 331",294,55,12,203,0,1632200007331
"City of Detroit, Precinct 333",162,38,9,96,1,1632200007333
"City of Detroit, Precinct 334",88,17,5,50,0,1632200007334
"City of Detroit, Precinct 335",168,24,10,104,0,1632200007335
"City of Detroit, Precinct 336",305,60,8,194,1,1632200007336
"City of Detroit, Precinct 337",178,38,7,98,0,1632200007337
"City of Detroit, Precinct 338",240,20,11,171,0,1632200007338
"City of Detroit, Precinct 339",140,23,2,91,2,1632200007339
"City of Detroit, Precinct 340",83,15,1,52,0,1632200007340
"City of Detroit, Precinct 341",225,37,6,146,3,1632200007341
"City of Detroit, Precinct 342",311,40,11,201,1,1632200007342
"City of Detroit, Precinct 343",304,55,17,182,1,1632200007343
"City of Detroit, Precinct 344",235,32,10,164,2,1632200007344
"City of Detroit, Precinct 345",333,72,14,220,0,1632200007345
"City of Detroit, Precinct 346",215,52,10,137,0,1632200007346
"City of Detroit, Precinct 347",408,79,20,262,2,1632200007347
"City of Detroit, Precinct 348",212,40,7,146,0,1632200007348
"City of Detroit, Precinct 349",367,70,29,227,1,1632200007349
"City of Detroit, Precinct 350",78,16,6,40,0,1632200001350
"City of Detroit, Precinct 351",171,38,5,112,1,1632200001351
"City of Detroit, Precinct 352",335,73,20,190,0,1632200001352
"City of Detroit, Precinct 353",44,10,2,25,0,1632200007353
"City of Detroit, Precinct 355",245,36,14,151,0,1632200007355
"City of Detroit, Precinct 356",211,44,9,138,1,1632200007356
"City of Detroit, Precinct 357",320,42,14,227,1,1632200001357
"City of Detroit, Precinct 359",435,93,23,278,3,1632200001359
"City of Detroit, Precinct 361",520,121,16,336,1,1632200001361
"City of Detroit, Precinct 362",94,14,2,68,0,1632200001362
"City of Detroit, Precinct 363",211,54,9,130,1,1632200007363
"City of Detroit, Precinct 364",247,56,13,148,1,1632200007364
"City of Detroit, Precinct 365",243,40,15,160,1,1632200007365
"City of Detroit, Precinct 368",210,48,10,134,1,1632200007368
"City of Detroit, Precinct 369",449,93,17,284,3,1632200007369
"City of Detroit, Precinct 370",201,38,6,133,1,1632200007370
"City of Detroit, Precinct 371",222,39,5,152,4,1632200007371
"City of Detroit, Precinct 373",204,45,5,128,1,1632200007373
"City of Detroit, Precinct 374",186,47,5,117,0,1632200007374
"City of Detroit, Precinct 375",208,35,4,139,0,1632200007375
"City of Detroit, Precinct 376",194,19,7,141,1,1632200007376
