name,ballots,James D. Hooper,Write-in,id
"City of Dearborn, Precinct 1",366,12,0,1632100000001
"City of Dearborn, Precinct 2",279,4,0,1632100000002
"City of Dearborn, Precinct 3",457,17,0,1632100000003
"City of Dearborn, Precinct 4",518,9,0,1632100000004
"City of Dearborn, Precinct 6",374,3,0,1632100000006
"City of Dearborn, Precinct 7",439,8,0,1632100000007
"City of Dearborn, Precinct 8",266,6,0,1632100000008
"City of Dearborn, Precinct 9",310,4,1,1632100000009
"City of Dearborn, Precinct 10",263,11,0,1632100000010
"City of Dearborn, Precinct 11",222,8,0,1632100000011
"City of Dearborn, Precinct 12",312,15,0,1632100000012
"City of Dearborn, Precinct 13",104,18,0,1632100000013
"City of Dearborn, Precinct 15",262,16,0,1632100000015
"City of Dearborn, Precinct 16",321,5,0,1632100000016
"City of Dearborn, Precinct 17",374,27,1,1632100000017
"City of Dearborn, Precinct 18",398,10,0,1632100000018
"City of Dearborn, Precinct 19",292,5,0,1632100000019
"City of Dearborn, Precinct 20",217,1,0,1632100000020
"City of Dearborn, Precinct 21",335,4,0,1632100000021
"City of Dearborn, Precinct 22",429,27,0,1632100000022
"City of Dearborn, Precinct 24",219,40,0,1632100000024
"City of Dearborn, Precinct 25",303,57,0,1632100000025
"City of Dearborn, Precinct 26",297,35,1,1632100000026
"City of Dearborn, Precinct 27",284,59,0,1632100000027
"City of Dearborn, Precinct 28",195,25,1,1632100000028
"City of Dearborn, Precinct 29",369,80,2,1632100000029
"City of Dearborn, Precinct 31",296,25,0,1632100000031
"City of Dearborn, Precinct 32",376,54,0,1632100000032
"City of Dearborn, Precinct 33",341,45,0,1632100000033
"City of Dearborn, Precinct 34",320,37,0,1632100000034
"City of Dearborn, Precinct 35",528,77,0,1632100000035
"City of Dearborn, Precinct 37",319,39,1,1632100000037
"City of Dearborn, Precinct 38",342,52,0,1632100000038
"City of Dearborn, Precinct 40",375,28,0,1632100000040
"City of Dearborn, Precinct 41",320,48,0,1632100000041
"City of Dearborn, Precinct 42",571,81,0,1632100000042
"City of Dearborn, Precinct 44",396,77,0,1632100000044
"City of Dearborn, Precinct 45",369,72,0,1632100000045
"City of Dearborn, Precinct 46",332,62,0,1632100000046
"City of Dearborn, Precinct 47",448,97,1,1632100000047
"City of Dearborn, Precinct 49",300,73,1,1632100000049
"City of Dearborn, Precinct 50",263,63,1,1632100000050
"City of Dearborn Heights, Precinct 1",548,16,0,1632102000001
"City of Dearborn Heights, Precinct 2",609,43,0,1632102000002
"City of Dearborn Heights, Precinct 3",408,63,0,1632102000003
"City of Dearborn Heights, Precinct 4",442,68,0,1632102000004
"City of Dearborn Heights, Precinct 5",488,59,0,1632102000005
"City of Dearborn Heights, Precinct 6",385,49,1,1632102000006
"City of Dearborn Heights, Precinct 7",289,35,0,1632102000007
"City of Dearborn Heights, Precinct 8",389,48,0,1632102000008
"City of Dearborn Heights, Precinct 9",541,20,0,1632102000009
"City of Dearborn Heights, Precinct 10",692,28,0,1632102000010
"City of Dearborn Heights, Precinct 11",176,38,0,1632102000011
"City of Detroit, Precinct 60",14,1,0,1632200007060
"City of Detroit, Precinct 223",101,1,0,1632200002223
"City of Detroit, Precinct 224",190,6,0,1632200002224
"City of Detroit, Precinct 225",139,5,0,1632200002225
"City of Detroit, Precinct 226",76,1,1,1632200002226
"City of Detroit, Precinct 227",90,0,0,1632200002227
"City of Detroit, Precinct 228",159,7,0,1632200002228
"City of Detroit, Precinct 229",126,4,0,1632200002229
"City of Detroit, Precinct 230",163,3,0,1632200002230
"City of Detroit, Precinct 231",98,4,0,1632200002231
"City of Detroit, Precinct 232",135,2,0,1632200002232
"City of Detroit, Precinct 233",190,1,0,1632200002233
"City of Detroit, Precinct 234",108,4,0,1632200002234
"City of Detroit, Precinct 236",175,2,0,1632200002236
"City of Detroit, Precinct 240",143,5,0,1632200002240
"City of Detroit, Precinct 241",105,1,0,1632200002241
"City of Detroit, Precinct 242",132,2,0,1632200002242
"City of Detroit, Precinct 243",50,2,0,1632200002243
"City of Detroit, Precinct 244",89,1,0,1632200002244
"City of Detroit, Precinct 246",98,2,0,1632200002246
"City of Detroit, Precinct 247",90,0,0,1632200002247
"City of Detroit, Precinct 248",60,0,0,1632200002248
"City of Detroit, Precinct 249",71,2,0,1632200002249
"City of Detroit, Precinct 250",112,4,0,1632200002250
"City of Detroit, Precinct 251",59,2,0,1632200002251
"City of Detroit, Precinct 252",53,2,0,1632200002252
"City of Detroit, Precinct 253",77,3,0,1632200002253
"City of Detroit, Precinct 254",100,3,0,1632200002254
"City of Detroit, Precinct 256",121,2,0,1632200002256
"City of Detroit, Precinct 257",176,4,0,1632200002257
"City of Detroit, Precinct 258",161,3,0,1632200002258
"City of Detroit, Precinct 261",180,8,1,1632200001261
"City of Detroit, Precinct 263",180,8,0,1632200001263
"City of Detroit, Precinct 264",124,5,0,1632200001264
"City of Detroit, Precinct 265",81,3,0,1632200001265
"City of Detroit, Precinct 266",6,0,0,1632200001266
"City of Detroit, Precinct 267",49,1,0,1632200001267
"City of Detroit, Precinct 268",52,1,0,1632200001268
"City of Detroit, Precinct 269",63,3,0,1632200001269
"City of Detroit, Precinct 271",190,3,1,1632200001271
"City of Detroit, Precinct 272",20,0,0,1632200001272
"City of Detroit, Precinct 273",42,0,0,1632200001273
"City of Detroit, Precinct 275",105,1,0,1632200001275
"City of Detroit, Precinct 276",96,3,0,1632200001276
"City of Detroit, Precinct 278",104,2,1,1632200001278
"City of Detroit, Precinct 279",218,2,0,1632200001279
"City of Detroit, Precinct 280",36,0,0,1632200001280
"City of Detroit, Precinct 281",147,3,1,1632200001281
"City of Detroit, Precinct 282",147,2,0,1632200001282
"City of Detroit, Precinct 283",130,5,0,1632200001283
"City of Detroit, Precinct 285",138,7,0,1632200001285
"City of Detroit, Precinct 286",93,3,0,1632200001286
"City of Detroit, Precinct 287",106,6,0,1632200001287
"City of Detroit, Precinct 288",67,3,0,1632200002288
"City of Detroit, Precinct 289",65,4,0,1632200002289
"City of Detroit, Precinct 290",28,1,0,1632200002290
"City of Detroit, Precinct 291",109,3,0,1632200002291
"City of Detroit, Precinct 292",60,0,0,1632200002292
"City of Detroit, Precinct 293",54,0,0,1632200002293
"City of Detroit, Precinct 294",113,3,0,1632200002294
"City of Detroit, Precinct 295",163,0,0,1632200002295
"City of Detroit, Precinct 296",80,1,0,1632200002296
"City of Detroit, Precinct 297",92,3,0,1632200001297
"City of Detroit, Precinct 298",130,11,0,1632200001298
"City of Detroit, Precinct 299",112,4,0,1632200001299
"City of Detroit, Precinct 300",61,3,0,1632200001300
"City of Detroit, Precinct 301",33,1,0,1632200001301
"City of Detroit, Precinct 302",127,6,1,1632200001302
"City of Detroit, Precinct 304",47,3,0,1632200001304
"City of Detroit, Precinct 305",86,0,0,1632200001305
"City of Detroit, Precinct 306",112,7,1,1632200001306
"City of Detroit, Precinct 307",89,1,0,1632200001307
"City of Detroit, Precinct 308",260,2,0,1632200001308
"City of Detroit, Precinct 309",120,4,0,1632200001309
"City of Detroit, Precinct 310",133,5,0,1632200001310
"City of Detroit, Precinct 311",139,1,0,1632200001311
"City of Detroit, Precinct 312",146,4,0,1632200001312
"City of Detroit, Precinct 313",53,1,0,1632200002313
"City of Detroit, Precinct 315",109,7,0,1632200001315
"City of Detroit, Precinct 316",125,5,0,1632200001316
"City of Detroit, Precinct 317",84,1,0,1632200001317
"City of Detroit, Precinct 318",22,0,0,1632200002318
