name,ballots,James D. Hooper,Write-in,id
"City of Dearborn, Precinct 1",485,15,0,1632100000001
"City of Dearborn, Precinct 2",440,17,0,1632100000002
"City of Dearborn, Precinct 3",667,27,0,1632100000003
"City of Dearborn, Precinct 4",678,16,0,1632100000004
"City of Dearborn, Precinct 6",546,9,0,1632100000006
"City of Dearborn, Precinct 7",645,19,0,1632100000007
"City of Dearborn, Precinct 8",437,17,0,1632100000008
"City of Dearborn, Precinct 9",458,10,1,1632100000009
"City of Dearborn, Precinct 10",420,16,0,1632100000010
"City of Dearborn, Precinct 11",327,16,0,1632100000011
"City of Dearborn, Precinct 12",464,22,0,1632100000012
"City of Dearborn, Precinct 13",279,36,0,1632100000013
"City of Dearborn, Precinct 15",446,26,0,1632100000015
"City of Dearborn, Precinct 16",512,17,1,1632100000016
"City of Dearborn, Precinct 17",619,43,2,1632100000017
"City of Dearborn, Precinct 18",637,28,0,1632100000018
"City of Dearborn, Precinct 19",448,10,0,1632100000019
"City of Dearborn, Precinct 20",306,1,0,1632100000020
"City of Dearborn, Precinct 21",422,7,0,1632100000021
"City of Dearborn, Precinct 22",845,86,0,1632100000022
"City of Dearborn, Precinct 24",440,72,1,1632100000024
"City of Dearborn, Precinct 25",664,136,0,1632100000025
"City of Dearborn, Precinct 26",595,98,1,1632100000026
"City of Dearborn, Precinct 27",577,106,0,1632100000027
"City of Dearborn, Precinct 28",367,67,1,1632100000028
"City of Dearborn, Precinct 29",639,130,2,1632100000029
"City of Dearborn, Precinct 31",704,96,1,1632100000031
"City of Dearborn, Precinct 32",637,106,0,1632100000032
"City of Dearborn, Precinct 33",627,89,0,1632100000033
"City of Dearborn, Precinct 34",600,77,0,1632100000034
"City of Dearborn, Precinct 35",983,138,0,1632100000035
"City of Dearborn, Precinct 37",644,86,1,1632100000037
"City of Dearborn, Precinct 38",644,98,0,1632100000038
"City of Dearborn, Precinct 40",594,54,0,1632100000040
"City of Dearborn, Precinct 41",632,97,1,1632100000041
"City of Dearborn, Precinct 42",1107,140,2,1632100000042
"City of Dearborn, Precinct 44",693,121,0,1632100000044
"City of Dearborn, Precinct 45",665,104,0,1632100000045
"City of Dearborn, Precinct 46",616,95,0,1632100000046
"City of Dearborn, Precinct 47",837,165,1,1632100000047
"City of Dearborn, Precinct 49",621,124,1,1632100000049
"City of Dearborn, Precinct 50",480,104,1,1632100000050
"City of Dearborn Heights, Precinct 1",928,44,0,1632102000001
"City of Dearborn Heights, Precinct 2",1027,95,0,1632102000002
"City of Dearborn Heights, Precinct 3",768,141,0,1632102000003
"City of Dearborn Heights, Precinct 4",970,194,0,1632102000004
"City of Dearborn Heights, Precinct 5",907,121,0,1632102000005
"City of Dearborn Heights, Precinct 6",787,124,1,1632102000006
"City of Dearborn Heights, Precinct 7",511,74,0,1632102000007
"City of Dearborn Heights, Precinct 8",733,108,0,1632102000008
"City of Dearborn Heights, Precinct 9",968,82,0,1632102000009
"City of Dearborn Heights, Precinct 10",1260,81,0,1632102000010
"City of Dearborn Heights, Precinct 11",337,56,0,1632102000011
"City of Detroit, Precinct 60",29,1,0,1632200007060
"City of Detroit, Precinct 223",303,4,0,1632200002223
"City of Detroit, Precinct 224",534,10,0,1632200002224
"City of Detroit, Precinct 225",410,8,0,1632200002225
"City of Detroit, Precinct 226",274,4,2,1632200002226
"City of Detroit, Precinct 227",237,0,0,1632200002227
"City of Detroit, Precinct 228",491,11,0,1632200002228
"City of Detroit, Precinct 229",383,7,0,1632200002229
"City of Detroit, Precinct 230",474,4,0,1632200002230
"City of Detroit, Precinct 231",314,5,0,1632200002231
"City of Detroit, Precinct 232",439,2,1,1632200002232
"City of Detroit, Precinct 233",539,3,0,1632200002233
"City of Detroit, Precinct 234",290,4,0,1632200002234
"City of Detroit, Precinct 236",502,5,0,1632200002236
"City of Detroit, Precinct 240",345,7,0,1632200002240
"City of Detroit, Precinct 241",250,4,0,1632200002241
"City of Detroit, Precinct 242",308,4,0,1632200002242
"City of Detroit, Precinct 243",155,2,0,1632200002243
"City of Detroit, Precinct 244",377,6,0,1632200002244
"City of Detroit, Precinct 246",226,4,0,1632200002246
"City of Detroit, Precinct 247",328,1,0,1632200002247
"City of Detroit, Precinct 248",170,1,1,1632200002248
