name,ballots,Donavan McKinney,Shri Thanedar,Write-in,id
"City of Allen Park, Precinct 1",229,64,100,1,1630138000001
"City of Allen Park, Precinct 2",581,161,246,0,1630138000002
"City of Allen Park, Precinct 3",776,178,351,2,1630138000003
"City of Allen Park, Precinct 4",607,188,221,0,1630138000004
"City of Allen Park, Precinct 5",577,157,249,2,1630138000005
"City of Allen Park, Precinct 6",778,203,321,1,1630138000006
"City of Allen Park, Precinct 7",675,177,264,4,1630138000007
"City of Allen Park, Precinct 8",235,46,105,0,1630138000008
"City of Dearborn Heights, Precinct 11",142,42,42,0,1632102000011
"City of Dearborn Heights, Precinct 12",426,98,168,0,1632102000012
"City of Dearborn Heights, Precinct 13",497,133,200,0,1632102000013
"City of Dearborn Heights, Precinct 14",289,71,106,0,1632102000014
"City of Dearborn Heights, Precinct 15",379,98,163,0,1632102000015
"City of Detroit, Precinct 1",206,69,102,1,1632200004001
"City of Detroit, Precinct 10",76,15,47,0,1632200004010
"City of Detroit, Precinct 100",69,22,40,0,1632200003100
"City of Detroit, Precinct 101",102,25,66,0,1632200004101
"City of Detroit, Precinct 102",64,13,41,0,1632200003102
"City of Detroit, Precinct 103",101,22,58,0,1632200004103
"City of Detroit, Precinct 105",195,57,100,2,1632200004105
"City of Detroit, Precinct 107",31,8,16,0,1632200003107
"City of Detroit, Precinct 11",327,172,122,5,1632200004011
"City of Detroit, Precinct 111",133,35,84,1,1632200004111
"City of Detroit, Precinct 112",179,46,106,3,1632200004112
"City of Detroit, Precinct 115",266,100,131,0,1632200004115
"City of Detroit, Precinct 116",225,67,119,3,1632200004116
"City of Detroit, Precinct 12",245,69,140,1,1632200004012
"City of Detroit, Precinct 120",243,103,110,0,1632200005120
"City of Detroit, Precinct 121",169,47,101,1,1632200003121
"City of Detroit, Precinct 122",74,29,37,1,1632200005122
"City of Detroit, Precinct 123",45,30,12,1,1632200005123
"City of Detroit, Precinct 124",855,465,303,2,1632200005124
"City of Detroit, Precinct 125",616,221,322,2,1632200005125
"City of Detroit, Precinct 126",263,124,105,3,1632200005126
"City of Detroit, Precinct 128",145,60,64,0,1632200005128
"City of Detroit, Precinct 129",88,43,40,0,1632200005129
"City of Detroit, Precinct 130",112,26,65,0,1632200005130
"City of Detroit, Precinct 132",506,180,252,11,1632200005132
"City of Detroit, Precinct 133",377,192,136,3,1632200005133
"City of Detroit, Precinct 134",312,161,111,2,1632200005134
"City of Detroit, Precinct 135",208,96,87,2,1632200004135
"City of Detroit, Precinct 136",517,216,234,2,1632200005136
"City of Detroit, Precinct 137",74,34,25,3,1632200005137
"City of Detroit, Precinct 138",248,89,115,1,1632200005138
"City of Detroit, Precinct 139",236,66,131,2,1632200005139
"City of Detroit, Precinct 14",35,12,21,0,1632200004014
"City of Detroit, Precinct 140",154,54,74,0,1632200005140
"City of Detroit, Precinct 143",199,100,75,0,1632200006143
"City of Detroit, Precinct 144",271,158,82,1,1632200006144
"City of Detroit, Precinct 145",140,60,57,0,1632200006145
"City of Detroit, Precinct 146",267,111,109,1,1632200006146
"City of Detroit, Precinct 147",200,89,84,1,1632200005147
