name,ballots,Donavan McKinney,Shri Thanedar,Write-in,id
"City of Allen Park, Precinct 1",459,174,146,3,1630138000001
"City of Allen Park, Precinct 2",988,316,346,4,1630138000002
"City of Allen Park, Precinct 3",1296,379,469,5,1630138000003
"City of Allen Park, Precinct 4",982,318,330,4,1630138000004
"City of Allen Park, Precinct 5",954,307,341,4,1630138000005
"City of Allen Park, Precinct 6",1229,363,430,6,1630138000006
"City of Allen Park, Precinct 7",1192,369,387,5,1630138000007
"City of Allen Park, Precinct 8",425,97,159,0,1630138000008
"City of Dearborn Heights, Precinct 11",283,90,80,0,1632102000011
"City of Dearborn Heights, Precinct 12",747,223,251,5,1632102000012
"City of Dearborn Heights, Precinct 13",939,302,297,4,1632102000013
"City of Dearborn Heights, Precinct 14",642,195,201,2,1632102000014
"City of Dearborn Heights, Precinct 15",754,250,261,2,1632102000015
"City of Detroit, Precinct 1",369,174,152,1,1632200004001
"City of Detroit, Precinct 2",323,153,134,3,1632200004002
"City of Detroit, Precinct 4",138,60,56,6,1632200004004
"City of Detroit, Precinct 5",255,90,126,5,1632200004005
"City of Detroit, Precinct 6",304,145,125,3,1632200004006
"City of Detroit, Precinct 7",570,311,190,0,1632200004007
"City of Detroit, Precinct 8",370,209,123,4,1632200004008
"City of Detroit, Precinct 9",215,94,94,2,1632200004009
"City of Detroit, Precinct 10",116,41,60,0,1632200004010
"City of Detroit, Precinct 11",547,322,178,5,1632200004011
"City of Detroit, Precinct 12",339,123,170,2,1632200004012
"City of Detroit, Precinct 14",66,27,33,0,1632200004014
"City of Detroit, Precinct 15",270,108,133,1,1632200004015
"City of Detroit, Precinct 16",180,75,83,1,1632200004016
"City of Detroit, Precinct 18",305,104,161,2,1632200004018
"City of Detroit, Precinct 19",193,79,79,1,1632200004019
"City of Detroit, Precinct 20",529,212,243,1,1632200004020
"City of Detroit, Precinct 22",249,104,111,0,1632200004022
"City of Detroit, Precinct 23",555,250,249,2,1632200004023
"City of Detroit, Precinct 25",204,82,104,3,1632200004025
"City of Detroit, Precinct 26",95,35,52,0,1632200004026
"City of Detroit, Precinct 27",231,76,128,1,1632200004027
"City of Detroit, Precinct 29",109,29,65,1,1632200004029
"City of Detroit, Precinct 32",628,355,204,1,1632200004032
"City of Detroit, Precinct 33",353,171,145,4,1632200004033
"City of Detroit, Precinct 34",594,299,238,4,1632200004034
"City of Detroit, Precinct 35",267,93,144,2,1632200004035
"City of Detroit, Precinct 36",198,76,104,2,1632200004036
"City of Detroit, Precinct 38",226,94,106,1,1632200004038
"City of Detroit, Precinct 39",213,85,96,2,1632200004039
"City of Detroit, Precinct 40",164,59,82,0,1632200004040
"City of Detroit, Precinct 41",197,75,101,2,1632200004041
"City of Detroit, Precinct 43",341,129,174,4,1632200004043
"City of Detroit, Precinct 44",265,85,149,0,1632200004044
"City of Detroit, Precinct 45",211,81,103,1,1632200004045
"City of Detroit, Precinct 46",137,53,72,0,1632200004046
"City of Detroit, Precinct 47",420,146,221,5,1632200004047
"City of Detroit, Precinct 49",77,28,42,0,1632200004049
"City of Detroit, Precinct 50",297,108,162,0,1632200004050
"City of Detroit, Precinct 51",128,43,67,0,1632200004051
"City of Detroit, Precinct 52",177,52,106,1,1632200004052
"City of Detroit, Precinct 53",257,94,128,3,1632200004053
"City of Detroit, Precinct 55",226,71,133,1,1632200004055
"City of Detroit, Precinct 56",158,49,88,0,1632200004056
"City of Detroit, Precinct 59",0,0,0,0,1632200003059
"City of Detroit, Precinct 61",239,118,95,4,1632200003061
"City of Detroit, Precinct 62",349,152,164,1,1632200003062
"City of Detroit, Precinct 64",142,68,53,3,1632200003064
"City of Detroit, Precinct 65",319,113,162,4,1632200003065
"City of Detroit, Precinct 66",111,30,66,0,1632200003066
"City of Detroit, Precinct 68",539,202,267,1,1632200003068
"City of Detroit, Precinct 69",14,2,7,2,1632200006069
"City of Detroit, Precinct 70",143,47,81,0,1632200003070
"City of Detroit, Precinct 71",160,64,71,1,1632200003071
"City of Detroit, Precinct 72",121,32,66,2,1632200003072
"City of Detroit, Precinct 73",129,45,69,1,1632200003073
"City of Detroit, Precinct 74",143,66,55,2,1632200003074
"City of Detroit, Precinct 75",227,73,114,0,1632200003075
"City of Detroit, Precinct 77",225,83,111,4,1632200003077
"City of Detroit, Precinct 78",108,26,66,2,1632200003078
"City of Detroit, Precinct 79",327,117,184,0,1632200003079
"City of Detroit, Precinct 80",177,62,96,1,1632200003080
"City of Detroit, Precinct 81",303,104,159,2,1632200003081
"City of Detroit, Precinct 82",205,90,90,1,1632200003082
"City of Detroit, Precinct 83",211,70,113,1,1632200003083
"City of Detroit, Precinct 84",280,106,137,2,1632200003084
"City of Detroit, Precinct 85",113,50,48,0,1632200003085
"City of Detroit, Precinct 86",247,126,97,1,1632200003086
"City of Detroit, Precinct 88",268,110,124,2,1632200003088
"City of Detroit, Precinct 89",188,110,58,0,1632200003089
"City of Detroit, Precinct 90",125,44,65,0,1632200003090
"City of Detroit, Precinct 91",447,252,89,1,1632200003091
"City of Detroit, Precinct 92",431,234,120,3,1632200003092
"City of Detroit, Precinct 93",87,30,46,1,1632200003093
"City of Detroit, Precinct 94",303,160,91,3,1632200003094
"City of Detroit, Precinct 95",278,147,82,6,1632200003095
"City of Detroit, Precinct 97",126,52,61,0,1632200003097
"City of Detroit, Precinct 98",202,151,27,0,1632200003098
"City of Detroit, Precinct 100",90,36,46,0,1632200003100
"City of Detroit, Precinct 101",149,46,92,0,1632200004101
"City of Detroit, Precinct 102",107,28,62,0,1632200003102
"City of Detroit, Precinct 103",152,46,77,0,1632200004103
"City of Detroit, Precinct 105",271,91,139,2,1632200004105
"City of Detroit, Precinct 107",48,13,23,0,1632200003107
"City of Detroit, Precinct 111",186,59,106,4,1632200004111
"City of Detroit, Precinct 112",317,117,166,3,1632200004112
"City of Detroit, Precinct 115",460,206,203,1,1632200004115
"City of Detroit, Precinct 116",357,134,172,5,1632200004116
"City of Detroit, Precinct 120",465,239,181,2,1632200005120
"City of Detroit, Precinct 121",230,66,140,1,1632200003121
"City of Detroit, Precinct 122",111,49,50,1,1632200005122
"City of Detroit, Precinct 123",88,62,20,1,1632200005123
"City of Detroit, Precinct 124",1410,845,428,9,1632200005124
"City of Detroit, Precinct 125",868,391,391,5,1632200005125
"City of Detroit, Precinct 126",483,257,173,3,1632200005126
"City of Detroit, Precinct 128",248,106,113,1,1632200005128
"City of Detroit, Precinct 129",198,116,69,2,1632200005129
"City of Detroit, Precinct 130",173,57,85,0,1632200005130
"City of Detroit, Precinct 132",656,263,304,15,1632200005132
"City of Detroit, Precinct 133",648,373,188,15,1632200005133
"City of Detroit, Precinct 134",548,342,142,8,1632200005134
"City of Detroit, Precinct 135",396,206,145,4,1632200004135
"City of Detroit, Precinct 136",852,437,338,4,1632200005136
"City of Detroit, Precinct 137",129,69,39,3,1632200005137
"City of Detroit, Precinct 138",370,152,153,1,1632200005138
"City of Detroit, Precinct 139",309,108,160,3,1632200005139
"City of Detroit, Precinct 140",243,111,101,0,1632200005140
"City of Detroit, Precinct 143",292,148,114,1,1632200006143
"City of Detroit, Precinct 144",489,325,117,3,1632200006144
"City of Detroit, Precinct 145",231,113,83,0,1632200006145
"City of Detroit, Precinct 146",461,245,149,3,1632200006146
"City of Detroit, Precinct 147",320,175,104,3,1632200005147
"City of Detroit, Precinct 148",229,177,36,2,1632200006148
"City of Detroit, Precinct 150",402,235,129,1,1632200006150
"City of Detroit, Precinct 151",728,341,300,8,1632200006151
"City of Detroit, Precinct 156",206,52,121,6,1632200005156
"City of Detroit, Precinct 157",352,188,116,5,1632200006157
"City of Detroit, Precinct 158",556,376,144,6,1632200005158
"City of Detroit, Precinct 159",363,241,82,5,1632200005159
"City of Detroit, Precinct 161",512,325,145,0,1632200005161
"City of Detroit, Precinct 162",527,290,200,2,1632200005162
"City of Detroit, Precinct 164",125,68,43,1,1632200005164
"City of Detroit, Precinct 165",687,372,236,4,1632200005165
"City of Detroit, Precinct 166",71,23,38,0,1632200007166
"City of Detroit, Precinct 167",508,294,171,5,1632200005167
"City of Detroit, Precinct 168",480,264,146,5,1632200005168
"City of Detroit, Precinct 169",364,215,117,2,1632200005169
"City of Detroit, Precinct 172",198,77,99,0,1632200003172
"City of Detroit, Precinct 173",302,111,147,3,1632200003173
"City of Detroit, Precinct 174",146,49,75,1,1632200003174
"City of Detroit, Precinct 175",77,36,30,0,1632200003175
"City of Detroit, Precinct 176",196,73,103,1,1632200003176
"City of Detroit, Precinct 177",222,104,93,1,1632200003177
"City of Detroit, Precinct 178",176,61,91,1,1632200003178
"City of Detroit, Precinct 180",193,82,94,2,1632200003180
"City of Detroit, Precinct 182",359,153,170,0,1632200003182
"City of Detroit, Precinct 183",125,39,69,2,1632200003183
"City of Detroit, Precinct 184",398,151,207,1,1632200003184
"City of Detroit, Precinct 185",231,103,101,3,1632200003185
"City of Detroit, Precinct 188",171,64,85,2,1632200003188
"City of Detroit, Precinct 189",222,94,107,2,1632200003189
"City of Detroit, Precinct 190",116,50,56,0,1632200003190
"City of Detroit, Precinct 191",231,104,99,2,1632200003191
"City of Detroit, Precinct 192",205,83,98,2,1632200003192
"City of Detroit, Precinct 193",126,45,64,1,1632200003193
"City of Detroit, Precinct 194",152,70,68,0,1632200003194
"City of Detroit, Precinct 195",300,106,161,1,1632200003195
"City of Detroit, Precinct 197",102,38,38,2,1632200003197
"City of Detroit, Precinct 198",259,144,88,3,1632200003198
"City of Detroit, Precinct 199",75,32,27,1,1632200003199
"City of Detroit, Precinct 200",348,193,121,2,1632200002200
"City of Detroit, Precinct 201",967,580,304,2,1632200002201
"City of Detroit, Precinct 203",668,424,195,8,1632200002203
"City of Detroit, Precinct 204",495,283,171,1,1632200002204
"City of Detroit, Precinct 207",694,427,206,3,1632200002207
"City of Detroit, Precinct 208",720,472,202,5,1632200002208
"City of Detroit, Precinct 209",170,66,92,1,1632200002209
"City of Detroit, Precinct 210",240,125,92,4,1632200002210
"City of Detroit, Precinct 211",425,229,155,2,1632200002211
"City of Detroit, Precinct 212",305,99,163,1,1632200005212
"City of Detroit, Precinct 215",162,58,82,3,1632200005215
"City of Detroit, Precinct 216",119,38,60,2,1632200005216
"City of Detroit, Precinct 217",296,127,140,2,1632200005217
"City of Detroit, Precinct 218",110,45,54,0,1632200005218
"City of Detroit, Precinct 219",147,69,65,0,1632200005219
"City of Detroit, Precinct 220",158,75,69,0,1632200005220
"City of Detroit, Precinct 221",611,300,262,2,1632200002221
"City of Detroit, Precinct 222",217,92,88,2,1632200002222
"City of Detroit, Precinct 238",260,141,102,3,1632200002238
"City of Detroit, Precinct 239",295,150,112,2,1632200002239
"City of Detroit, Precinct 259",297,158,120,1,1632200002259
"City of Detroit, Precinct 260",292,138,126,2,1632200002260
"City of Detroit, Precinct 360",11,2,7,0,1632200006360
"City of Detroit, Precinct 386",311,145,137,1,1632200002386
"City of Detroit, Precinct 387",169,85,54,1,1632200002387
"City of Detroit, Precinct 390",150,62,68,0,1632200002390
"City of Detroit, Precinct 396",257,97,131,2,1632200007396
"City of Detroit, Precinct 398",255,120,98,2,1632200007398
"City of Detroit, Precinct 399",219,86,115,1,1632200007399
"City of Detroit, Precinct 400",250,111,111,4,1632200007400
"City of Detroit, Precinct 402",135,55,69,0,1632200002402
"City of Detroit, Precinct 405",174,58,97,1,1632200007405
"City of Detroit, Precinct 409",219,94,92,1,1632200007409
"City of Detroit, Precinct 414",128,47,70,1,1632200007414
"City of Detroit, Precinct 415",232,71,130,0,1632200007415
"City of Detroit, Precinct 416",91,44,37,0,1632200006416
"City of Detroit, Precinct 417",78,31,40,0,1632200006417
"City of Detroit, Precinct 418",234,91,119,0,1632200006418
"City of Detroit, Precinct 419",223,94,103,1,1632200006419
"City of Detroit, Precinct 420",155,64,67,1,1632200006420
"City of Detroit, Precinct 421",40,22,17,0,1632200006421
"City of Detroit, Precinct 422",177,78,74,2,1632200006422
"City of Detroit, Precinct 423",158,78,57,1,1632200006423
"City of Detroit, Precinct 424",155,82,53,3,1632200006424
"City of Detroit, Precinct 425",261,161,63,1,1632200006425
"City of Detroit, Precinct 426",313,145,127,1,1632200005426
"City of Detroit, Precinct 428",299,168,112,0,1632200005428
"City of Detroit, Precinct 429",134,36,78,1,1632200005429
"City of Detroit, Precinct 430",244,77,135,1,1632200005430
"City of Detroit, Precinct 432",206,82,87,1,1632200005432
"City of Detroit, Precinct 433",170,91,64,2,1632200005433
"City of Detroit, Precinct 434",125,49,63,1,1632200005434
"City of Detroit, Precinct 435",72,34,33,0,1632200005435
"City of Detroit, Precinct 436",342,227,77,4,1632200005436
"City of Detroit, Precinct 437",177,93,76,0,1632200005437
"City of Detroit, Precinct 438",166,106,48,1,1632200005438
"City of Detroit, Precinct 439",186,94,83,0,1632200005439
"City of Detroit, Precinct 440",64,29,26,0,1632200005440
"City of Detroit, Precinct 441",239,102,100,2,1632200005441
"City of Detroit, Precinct 442",463,276,141,0,1632200005442
"City of Detroit, Precinct 443",8,2,6,0,1632200005443
"City of Detroit, Precinct 444",0,0,0,0,1632200006444
"City of Detroit, Precinct 446",154,63,82,1,1632200005446
"City of Detroit, Precinct 447",224,105,103,1,1632200005447
"City of Detroit, Precinct 448",119,54,47,0,1632200005448
"City of Detroit, Precinct 449",182,80,81,2,1632200005449
"City of Detroit, Precinct 450",1,0,1,0,1632200005450
"City of Detroit, Precinct 452",109,33,58,0,1632200005452
"City of Detroit, Precinct 453",153,64,76,0,1632200006453
"City of Detroit, Precinct 457",122,51,54,0,1632200006457
"City of Detroit, Precinct 458",132,52,62,0,1632200006458
"City of Detroit, Precinct 460",191,99,61,0,1632200006460
"City of Detroit, Precinct 461",612,394,158,2,1632200006461
"City of Detroit, Precinct 462",327,199,101,1,1632200006462
"City of Detroit, Precinct 464",515,403,75,8,1632200006464
"City of Detroit, Precinct 466",322,131,145,2,1632200006466
"City of Detroit, Precinct 470",273,161,80,1,1632200006470
"City of Detroit, Precinct 471",209,145,41,0,1632200006471
"City of Detroit, Precinct 472",217,110,66,3,1632200006472
"City of Detroit, Precinct 473",320,173,95,1,1632200006473
"City of Detroit, Precinct 474",112,48,37,2,1632200006474
"City of Detroit, Precinct 475",196,146,34,1,1632200006475
"City of Detroit, Precinct 477",371,178,115,1,1632200006477
"City of Detroit, Precinct 479",106,51,37,4,1632200006479
"City of Detroit, Precinct 480",211,117,62,2,1632200006480
"City of Detroit, Precinct 481",315,195,84,3,1632200006481
"City of Detroit, Precinct 482",279,114,134,8,1632200006482
"City of Detroit, Precinct 483",356,149,167,1,1632200006483
"City of Detroit, Precinct 484",263,93,135,1,1632200006484
"City of Detroit, Precinct 485",310,123,166,7,1632200006485
"City of Detroit, Precinct 490",16,7,3,0,1632200002490
"City of Detroit, Precinct 491",246,69,142,3,1632200004491
"City of Detroit, Precinct 493",203,50,119,2,1632200005493
