name,ballots,T. P. Nykoriak,Write-in,id
"City of Allen Park, Precinct 1",229,44,0,1630138000001
"City of Allen Park, Precinct 2",581,111,1,1630138000002
"City of Allen Park, Precinct 3",776,166,2,1630138000003
"City of Allen Park, Precinct 4",607,129,0,1630138000004
"City of Allen Park, Precinct 5",577,118,0,1630138000005
"City of Allen Park, Precinct 6",778,160,5,1630138000006
"City of Allen Park, Precinct 7",675,151,0,1630138000007
"City of Allen Park, Precinct 8",235,60,2,1630138000008
"City of Dearborn Heights, Precinct 11",142,28,0,1632102000011
"City of Dearborn Heights, Precinct 12",426,86,0,1632102000012
"City of Dearborn Heights, Precinct 13",497,92,0,1632102000013
"City of Dearborn Heights, Precinct 14",289,74,0,1632102000014
"City of Dearborn Heights, Precinct 15",379,71,0,1632102000015
"City of Detroit, Precinct 1",206,3,0,1632200004001
"City of Detroit, Precinct 10",76,1,0,1632200004010
"City of Detroit, Precinct 100",69,0,0,1632200003100
"City of Detroit, Precinct 101",102,0,0,1632200004101
"City of Detroit, Precinct 102",64,0,0,1632200003102
"City of Detroit, Precinct 103",101,4,0,1632200004103
"City of Detroit, Precinct 105",195,4,0,1632200004105
"City of Detroit, Precinct 107",31,2,0,1632200003107
"City of Detroit, Precinct 11",327,2,0,1632200004011
"City of Detroit, Precinct 111",133,1,0,1632200004111
"City of Detroit, Precinct 112",179,3,0,1632200004112
"City of Detroit, Precinct 115",266,3,0,1632200004115
"City of Detroit, Precinct 116",225,1,0,1632200004116
"City of Detroit, Precinct 12",245,0,0,1632200004012
"City of Detroit, Precinct 120",243,1,0,1632200005120
"City of Detroit, Precinct 121",169,0,0,1632200003121
"City of Detroit, Precinct 122",74,0,0,1632200005122
"City of Detroit, Precinct 123",45,1,0,1632200005123
"City of Detroit, Precinct 124",855,8,0,1632200005124
"City of Detroit, Precinct 125",616,7,1,1632200005125
"City of Detroit, Precinct 126",263,4,0,1632200005126
"City of Detroit, Precinct 128",145,3,0,1632200005128
"City of Detroit, Precinct 129",88,1,0,1632200005129
"City of Detroit, Precinct 130",112,1,0,1632200005130
"City of Detroit, Precinct 132",506,5,0,1632200005132
"City of Detroit, Precinct 133",377,10,0,1632200005133
"City of Detroit, Precinct 134",312,11,0,1632200005134
"City of Detroit, Precinct 135",208,2,0,1632200004135
"City of Detroit, Precinct 136",517,2,0,1632200005136
"City of Detroit, Precinct 137",74,1,0,1632200005137
"City of Detroit, Precinct 138",248,8,0,1632200005138
"City of Detroit, Precinct 139",236,1,0,1632200005139
"City of Detroit, Precinct 14",35,1,0,1632200004014
"City of Detroit, Precinct 140",154,5,0,1632200005140
"City of Detroit, Precinct 143",199,12,0,1632200006143
"City of Detroit, Precinct 144",271,8,0,1632200006144
"City of Detroit, Precinct 145",140,9,0,1632200006145
"City of Detroit, Precinct 146",267,10,0,1632200006146
"City of Detroit, Precinct 147",200,2,0,1632200005147
"City of Detroit, Precinct 148",129,1,1,1632200006148
"City of Detroit, Precinct 15",143,3,0,1632200004015
"City of Detroit, Precinct 150",231,3,1,1632200006150
"City of Detroit, Precinct 151",488,6,1,1632200006151
"City of Detroit, Precinct 156",143,2,0,1632200005156
"City of Detroit, Precinct 157",194,5,0,1632200006157
"City of Detroit, Precinct 158",309,8,0,1632200005158
"City of Detroit, Precinct 159",224,6,0,1632200005159
"City of Detroit, Precinct 16",104,1,0,1632200004016
"City of Detroit, Precinct 161",260,3,1,1632200005161
"City of Detroit, Precinct 162",318,5,0,1632200005162
"City of Detroit, Precinct 164",73,2,0,1632200005164
"City of Detroit, Precinct 165",464,5,0,1632200005165
"City of Detroit, Precinct 166",50,0,0,1632200007166
"City of Detroit, Precinct 167",260,0,0,1632200005167
"City of Detroit, Precinct 168",258,3,0,1632200005168
"City of Detroit, Precinct 169",182,4,0,1632200005169
"City of Detroit, Precinct 172",141,2,0,1632200003172
"City of Detroit, Precinct 173",221,3,1,1632200003173
"City of Detroit, Precinct 174",72,2,0,1632200003174
"City of Detroit, Precinct 175",46,2,0,1632200003175
"City of Detroit, Precinct 176",146,1,0,1632200003176
"City of Detroit, Precinct 177",138,2,0,1632200003177
"City of Detroit, Precinct 178",127,4,0,1632200003178
"City of Detroit, Precinct 18",169,6,0,1632200004018
"City of Detroit, Precinct 180",113,0,0,1632200003180
"City of Detroit, Precinct 182",239,4,1,1632200003182
"City of Detroit, Precinct 183",74,0,0,1632200003183
"City of Detroit, Precinct 184",276,6,0,1632200003184
"City of Detroit, Precinct 185",141,3,0,1632200003185
"City of Detroit, Precinct 188",104,2,0,1632200003188
"City of Detroit, Precinct 189",157,2,0,1632200003189
"City of Detroit, Precinct 19",121,10,0,1632200004019
"City of Detroit, Precinct 190",77,0,0,1632200003190
"City of Detroit, Precinct 191",152,1,0,1632200003191
"City of Detroit, Precinct 192",138,1,0,1632200003192
"City of Detroit, Precinct 193",84,1,0,1632200003193
"City of Detroit, Precinct 194",89,0,0,1632200003194
"City of Detroit, Precinct 195",197,2,0,1632200003195
"City of Detroit, Precinct 197",63,4,0,1632200003197
"City of Detroit, Precinct 198",151,4,0,1632200003198
"City of Detroit, Precinct 199",54,0,0,1632200003199
"City of Detroit, Precinct 2",203,1,0,1632200004002
"City of Detroit, Precinct 20",259,17,3,1632200004020
"City of Detroit, Precinct 200",224,1,0,1632200002200
"City of Detroit, Precinct 201",541,13,0,1632200002201
"City of Detroit, Precinct 203",394,2,0,1632200002203
