name,ballots,T. P. Nykoriak,Write-in,id
"City of Allen Park, Precinct 1",230,56,0,1630138000001
"City of Allen Park, Precinct 2",407,110,1,1630138000002
"City of Allen Park, Precinct 3",520,158,0,1630138000003
"City of Allen Park, Precinct 4",375,97,0,1630138000004
"City of Allen Park, Precinct 5",377,108,1,1630138000005
"City of Allen Park, Precinct 6",451,129,3,1630138000006
"City of Allen Park, Precinct 7",517,165,1,1630138000007
"City of Allen Park, Precinct 8",190,59,2,1630138000008
"City of Dearborn Heights, Precinct 11",141,46,0,1632102000011
"City of Dearborn Heights, Precinct 12",321,78,1,1632102000012
"City of Dearborn Heights, Precinct 13",442,128,0,1632102000013
"City of Dearborn Heights, Precinct 14",353,87,0,1632102000014
"City of Dearborn Heights, Precinct 15",375,87,2,1632102000015
"City of Detroit, Precinct 1",163,0,0,1632200004001
"City of Detroit, Precinct 2",120,5,0,1632200004002
"City of Detroit, Precinct 4",62,0,0,1632200004004
"City of Detroit, Precinct 5",67,1,1,1632200004005
"City of Detroit, Precinct 6",113,3,0,1632200004006
"City of Detroit, Precinct 7",246,7,0,1632200004007
"City of Detroit, Precinct 8",148,0,1,1632200004008
"City of Detroit, Precinct 9",87,4,0,1632200004009
"City of Detroit, Precinct 10",40,1,0,1632200004010
"City of Detroit, Precinct 11",220,3,0,1632200004011
"City of Detroit, Precinct 12",94,1,1,1632200004012
"City of Detroit, Precinct 14",31,3,0,1632200004014
"City of Detroit, Precinct 15",127,0,0,1632200004015
"City of Detroit, Precinct 16",76,1,0,1632200004016
"City of Detroit, Precinct 18",136,4,0,1632200004018
"City of Detroit, Precinct 19",72,1,0,1632200004019
"City of Detroit, Precinct 20",270,16,0,1632200004020
"City of Detroit, Precinct 22",106,6,0,1632200004022
"City of Detroit, Precinct 23",236,5,0,1632200004023
"City of Detroit, Precinct 25",104,0,0,1632200004025
"City of Detroit, Precinct 26",29,0,0,1632200004026
"City of Detroit, Precinct 27",84,2,0,1632200004027
"City of Detroit, Precinct 29",37,2,0,1632200004029
"City of Detroit, Precinct 32",251,13,0,1632200004032
"City of Detroit, Precinct 33",150,5,0,1632200004033
"City of Detroit, Precinct 34",226,8,1,1632200004034
"City of Detroit, Precinct 35",101,2,0,1632200004035
"City of Detroit, Precinct 36",66,2,0,1632200004036
"City of Detroit, Precinct 38",75,1,0,1632200004038
"City of Detroit, Precinct 39",76,1,0,1632200004039
"City of Detroit, Precinct 40",57,5,0,1632200004040
"City of Detroit, Precinct 41",89,1,0,1632200004041
"City of Detroit, Precinct 43",116,3,2,1632200004043
"City of Detroit, Precinct 44",85,2,0,1632200004044
"City of Detroit, Precinct 45",85,3,0,1632200004045
"City of Detroit, Precinct 46",51,2,0,1632200004046
"City of Detroit, Precinct 47",165,1,0,1632200004047
"City of Detroit, Precinct 49",21,1,1,1632200004049
"City of Detroit, Precinct 50",101,0,0,1632200004050
"City of Detroit, Precinct 51",50,0,0,1632200004051
"City of Detroit, Precinct 52",54,1,0,1632200004052
"City of Detroit, Precinct 53",87,1,0,1632200004053
"City of Detroit, Precinct 55",79,1,0,1632200004055
"City of Detroit, Precinct 56",65,3,0,1632200004056
"City of Detroit, Precinct 59",0,0,0,1632200003059
"City of Detroit, Precinct 61",65,0,0,1632200003061
"City of Detroit, Precinct 62",140,4,2,1632200003062
"City of Detroit, Precinct 64",58,1,1,1632200003064
"City of Detroit, Precinct 65",118,2,0,1632200003065
"City of Detroit, Precinct 66",34,1,0,1632200003066
"City of Detroit, Precinct 68",184,0,0,1632200003068
"City of Detroit, Precinct 69",2,0,0,1632200006069
"City of Detroit, Precinct 70",56,1,0,1632200003070
"City of Detroit, Precinct 71",67,1,0,1632200003071
"City of Detroit, Precinct 72",40,3,0,1632200003072
"City of Detroit, Precinct 73",50,1,0,1632200003073
"City of Detroit, Precinct 74",53,0,0,1632200003074
"City of Detroit, Precinct 75",56,4,0,1632200003075
"City of Detroit, Precinct 77",84,1,0,1632200003077
"City of Detroit, Precinct 78",25,0,0,1632200003078
"City of Detroit, Precinct 79",110,4,1,1632200003079
"City of Detroit, Precinct 80",66,2,0,1632200003080
"City of Detroit, Precinct 81",99,1,0,1632200003081
"City of Detroit, Precinct 82",76,0,1,1632200003082
"City of Detroit, Precinct 83",75,5,0,1632200003083
