name,ballots,Heather Smiley,Write-in,id
"City of Belleville, Precinct 1",0,0,0,1630702000001
"Charter Township of Brownstown, Precinct 1",0,0,0,1631122000001
"Charter Township of Brownstown, Precinct 2",0,0,0,1631122000002
"Charter Township of Brownstown, Precinct 3",0,0,0,1631122000003
"Charter Township of Brownstown, Precinct 4",0,0,0,1631122000004
"Charter Township of Brownstown, Precinct 5",0,0,0,1631122000005
"Charter Township of Brownstown, Precinct 6",0,0,0,1631122000006
"Charter Township of Brownstown, Precinct 7",0,0,0,1631122000007
"Charter Township of Brownstown, Precinct 8",0,0,0,1631122000008
"Charter Township of Brownstown, Precinct 9",0,0,0,1631122000009
"Charter Township of Brownstown, Precinct 10",0,0,0,1631122000010
"Charter Township of Brownstown, Precinct 11",0,0,0,1631122000011
"Charter Township of Brownstown, Precinct 12",0,0,0,1631122000012
"Canton Township, Precinct 1",0,0,0,1631312000001
"Canton Township, Precinct 2",0,0,0,1631312000002
"Canton Township, Precinct 3",0,0,0,1631312000003
"Canton Township, Precinct 4",0,0,0,1631312000004
"Canton Township, Precinct 5",0,0,0,1631312000005
"Canton Township, Precinct 6",0,0,0,1631312000006
"Canton Township, Precinct 7",0,0,0,1631312000007
"Canton Township, Precinct 8",0,0,0,1631312000008
"Canton Township, Precinct 9",0,0,0,1631312000009
"Canton Township, Precinct 10",0,0,0,1631312000010
"Canton Township, Precinct 11",0,0,0,1631312000011
"Canton Township, Precinct 12",0,0,0,1631312000012
"Canton Township, Precinct 13",0,0,0,1631312000013
"Canton Township, Precinct 14",0,0,0,1631312000014
"Canton Township, Precinct 15",0,0,0,1631312000015
"Canton Township, Precinct 16",0,0,0,1631312000016
"Canton Township, Precinct 17",0,0,0,1631312000017
"Canton Township, Precinct 18",0,0,0,1631312000018
"Canton Township, Precinct 19",0,0,0,1631312000019
"Canton Township, Precinct 20",0,0,0,1631312000020
"City of Flat Rock, Precinct 1",0,0,0,1632836000001
"City of Flat Rock, Precinct 2",0,0,0,1632836000002
"City of Flat Rock, Precinct 3",0,0,0,1632836000003
"City of Gibraltar, Precinct 1",0,0,0,1633202000001
"City of Gibraltar, Precinct 2",0,0,0,1633202000002
"Grosse Ile Township, Precinct 1",0,0,0,1633542000001
"Grosse Ile Township, Precinct 2",0,0,0,1633542000002
"Grosse Ile Township, Precinct 3",0,0,0,1633542000003
"Charter Township of Huron, Precinct 1",0,0,0,1634004000001
"Charter Township of Huron, Precinct 2",0,0,0,1634004000002
"Charter Township of Huron, Precinct 3",0,0,0,1634004000003
"Charter Township of Huron, Precinct 4",0,0,0,1634004000004
"City of Northville, Precinct 1",0,0,0,1635898000001
"Charter Township of Northville, Precinct 1",0,0,0,1635900000001
"Charter Township of Northville, Precinct 2",0,0,0,1635900000002
"Charter Township of Northville, Precinct 3",0,0,0,1635900000003
"Charter Township of Northville, Precinct 4",0,0,0,1635900000004
"Charter Township of Northville, Precinct 5",0,0,0,1635900000005
"Charter Township of Northville, Precinct 6",0,0,0,1635900000006
"Charter Township of Northville, Precinct 7",0,0,0,1635900000007
"Charter Township of Northville, Precinct 8",0,0,0,1635900000008
"Charter Township of Northville, Precinct 9",0,0,0,1635900000009
"Charter Township of Northville, Precinct 10",0,0,0,1635900000010
"City of Plymouth, Precinct 1",0,0,0,1636506000001
"City of Plymouth, Precinct 2",0,0,0,1636506000002
"City of Plymouth, Precinct 3",0,0,0,1636506000003
"City of Plymouth, Precinct 4",0,0,0,1636506000004
"Plymouth Township, Precinct 1",0,0,0,1636508000001
"Plymouth Township, Precinct 2",0,0,0,1636508000002
"Plymouth Township, Precinct 3",0,0,0,1636508000003
"Plymouth Township, Precinct 4",0,0,0,1636508000004
"Plymouth Township, Precinct 5",0,0,0,1636508000005
"Plymouth Township, Precinct 6",0,0,0,1636508000006
"City of Riverview, Precinct 1",0,0,0,1636888000001
"City of Riverview, Precinct 2",0,0,0,1636888000002
"City of Riverview, Precinct 3",0,0,0,1636888000003
"City of Rockwood, Precinct 1",0,0,0,1636918000001
"City of Rockwood, Precinct 2",0,0,0,1636918000002
"Township of Sumpter, Precinct 1",0,0,0,1637736000001
"Township of Sumpter, Precinct 2",0,0,0,1637736000002
"Township of Sumpter, Precinct 3",0,0,0,1637736000003
"Township of Sumpter, Precinct 4",0,0,0,1637736000004
"City of Trenton, Precinct 1",0,0,0,1638042000001
"City of Trenton, Precinct 2",0,0,0,1638042000002
"City of Trenton, Precinct 3",0,0,0,1638042000003
"City of Trenton, Precinct 4",0,0,0,1638042000004
"Van Buren Township, Precinct 1",0,0,0,1638166000001
"Van Buren Township, Precinct 2",0,0,0,1638166000002
"Van Buren Township, Precinct 3",0,0,0,1638166000003
"Van Buren Township, Precinct 4",0,0,0,1638166000004
"Van Buren Township, Precinct 5",0,0,0,1638166000005
"Van Buren Township, Precinct 6",0,0,0,1638166000006
"Van Buren Township, Precinct 7",0,0,0,1638166000007
"City of Woodhaven, Precinct 1",0,0,0,1638838000001
"City of Woodhaven, Precinct 2",0,0,0,1638838000002
"City of Woodhaven, Precinct 3",0,0,0,1638838000003
"City of Woodhaven, Precinct 4",0,0,0,1638838000004
