name,ballots,Heather Smiley,Write-in,id
"City of Belleville, Precinct 1",981,236,1,1630702000001
"Charter Township of Brownstown, Precinct 1",685,195,0,1631122000001
"Charter Township of Brownstown, Precinct 2",574,128,1,1631122000002
"Charter Township of Brownstown, Precinct 3",855,206,1,1631122000003
"Charter Township of Brownstown, Precinct 4",1236,390,1,1631122000004
"Charter Township of Brownstown, Precinct 5",636,178,2,1631122000005
"Charter Township of Brownstown, Precinct 6",806,240,1,1631122000006
"Charter Township of Brownstown, Precinct 7",616,197,0,1631122000007
"Charter Township of Brownstown, Precinct 8",652,175,1,1631122000008
"Charter Township of Brownstown, Precinct 9",578,129,1,1631122000009
"Charter Township of Brownstown, Precinct 10",696,128,0,1631122000010
"Charter Township of Brownstown, Precinct 11",473,163,1,1631122000011
"Charter Township of Brownstown, Precinct 12",614,144,1,1631122000012
"Canton Township, Precinct 1",1246,269,0,1631312000001
"Canton Township, Precinct 2",1438,356,0,1631312000002
"Canton Township, Precinct 3",1757,377,2,1631312000003
"Canton Township, Precinct 4",1374,277,1,1631312000004
"Canton Township, Precinct 5",997,221,0,1631312000005
"Canton Township, Precinct 6",571,119,0,1631312000006
"Canton Township, Precinct 7",1370,301,1,1631312000007
"Canton Township, Precinct 8",1421,238,0,1631312000008
"Canton Township, Precinct 9",1181,237,0,1631312000009
"Canton Township, Precinct 10",1130,239,0,1631312000010
"Canton Township, Precinct 11",882,202,0,1631312000011
"Canton Township, Precinct 12",1417,377,0,1631312000012
"Canton Township, Precinct 13",1495,384,0,1631312000013
"Canton Township, Precinct 14",1669,461,0,1631312000014
"Canton Township, Precinct 15",1895,491,2,1631312000015
"Canton Township, Precinct 16",1698,285,0,1631312000016
"Canton Township, Precinct 17",1779,209,0,1631312000017
"Canton Township, Precinct 18",1761,206,1,1631312000018
"Canton Township, Precinct 19",1420,200,0,1631312000019
"Canton Township, Precinct 20",1331,229,0,1631312000020
"City of Flat Rock, Precinct 1",496,165,1,1632836000001
"City of Flat Rock, Precinct 2",768,250,0,1632836000002
"City of Flat Rock, Precinct 3",825,306,1,1632836000003
"City of Gibraltar, Precinct 1",629,280,1,1633202000001
"City of Gibraltar, Precinct 2",639,262,5,1633202000002
"Grosse Ile Township, Precinct 1",2141,838,0,1633542000001
"Grosse Ile Township, Precinct 2",944,377,2,1633542000002
"Grosse Ile Township, Precinct 3",1263,566,0,1633542000003
"Charter Township of Huron, Precinct 1",921,391,2,1634004000001
"Charter Township of Huron, Precinct 2",861,384,2,1634004000002
"Charter Township of Huron, Precinct 3",1311,519,3,1634004000003
"Charter Township of Huron, Precinct 4",838,350,2,1634004000004
"City of Northville, Precinct 1",1124,287,0,1635898000001
"Charter Township of Northville, Precinct 1",1386,408,3,1635900000001
"Charter Township of Northville, Precinct 2",1384,320,0,1635900000002
"Charter Township of Northville, Precinct 3",944,274,0,1635900000003
"Charter Township of Northville, Precinct 4",1059,391,0,1635900000004
"Charter Township of Northville, Precinct 5",875,263,1,1635900000005
"Charter Township of Northville, Precinct 6",1226,417,1,1635900000006
"Charter Township of Northville, Precinct 7",1120,362,0,1635900000007
"Charter Township of Northville, Precinct 8",889,231,0,1635900000008
"Charter Township of Northville, Precinct 9",706,169,0,1635900000009
"Charter Township of Northville, Precinct 10",1098,362,0,1635900000010
"City of Plymouth, Precinct 1",1022,197,1,1636506000001
"City of Plymouth, Precinct 2",553,74,0,1636506000002
"City of Plymouth, Precinct 3",1157,250,0,1636506000003
"City of Plymouth, Precinct 4",827,195,0,1636506000004
"Plymouth Township, Precinct 1",1535,452,1,1636508000001
"Plymouth Township, Precinct 2",1710,501,0,1636508000002
"Plymouth Township, Precinct 3",1688,441,0,1636508000003
"Plymouth Township, Precinct 4",1931,635,0,1636508000004
"Plymouth Township, Precinct 5",1692,544,4,1636508000005
"Plymouth Township, Precinct 6",2000,656,0,1636508000006
"City of Riverview, Precinct 1",932,328,1,1636888000001
"City of Riverview, Precinct 2",927,286,0,1636888000002
"City of Riverview, Precinct 3",1291,419,4,1636888000003
"City of Rockwood, Precinct 1",274,92,0,1636918000001
"City of Rockwood, Precinct 2",457,210,0,1636918000002
"Township of Sumpter, Precinct 1",352,156,1,1637736000001
"Township of Sumpter, Precinct 2",653,223,4,1637736000002
"Township of Sumpter, Precinct 3",692,294,2,1637736000003
"Township of Sumpter, Precinct 4",671,290,0,1637736000004
"City of Trenton, Precinct 1",760,222,2,1638042000001
"City of Trenton, Precinct 2",1685,602,0,1638042000002
"City of Trenton, Precinct 3",1533,515,0,1638042000003
"City of Trenton, Precinct 4",1537,511,3,1638042000004
"Van Buren Township, Precinct 1",1094,259,0,1638166000001
"Van Buren Township, Precinct 2",1530,380,0,1638166000002
"Van Buren Township, Precinct 3",1271,234,0,1638166000003
"Van Buren Township, Precinct 4",1253,216,1,1638166000004
"Van Buren Township, Precinct 5",1053,167,0,1638166000005
"Van Buren Township, Precinct 6",1329,289,3,1638166000006
"Van Buren Township, Precinct 7",360,89,0,1638166000007
"City of Woodhaven, Precinct 1",653,224,0,1638838000001
"City of Woodhaven, Precinct 2",857,328,5,1638838000002
"City of Woodhaven, Precinct 3",1401,414,3,1638838000003
"City of Woodhaven, Precinct 4",419,137,0,1638838000004
