name,ballots,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Write-in,id
"City of Allen Park, Precinct 1",27,12,0,7,0,1630138000001.0
"City of Allen Park, Precinct 2",68,24,3,24,0,1630138000002.0
"City of Allen Park, Precinct 3",81,36,0,18,0,1630138000003.0
"City of Allen Park, Precinct 4",77,41,3,11,0,1630138000004.0
"City of Allen Park, Precinct 5",71,37,3,9,0,1630138000005.0
"City of Allen Park, Precinct 6",86,28,2,34,0,1630138000006.0
"City of Allen Park, Precinct 7",84,33,1,23,0,1630138000007.0
"City of Allen Park, Precinct 8",20,9,0,8,0,1630138000008.0
"City of Belleville, Precinct 1",53,24,0,9,0,1630702000001.0
"Charter Township of Brownstown, Precinct 1",86,37,1,15,0,1631122000001.0
"Charter Township of Brownstown, Precinct 2",39,21,0,8,0,1631122000002.0
"Charter Township of Brownstown, Precinct 3",43,28,0,4,0,1631122000003.0
"Charter Township of Brownstown, Precinct 4",49,14,1,14,0,1631122000004.0
"Charter Township of Brownstown, Precinct 5",28,16,0,3,0,1631122000005.0
"Charter Township of Brownstown, Precinct 6",24,10,0,5,0,1631122000006.0
"Charter Township of Brownstown, Precinct 7",27,15,0,7,0,1631122000007.0
"Charter Township of Brownstown, Precinct 8",36,18,0,8,0,1631122000008.0
"Charter Township of Brownstown, Precinct 9",52,18,0,21,0,1631122000009.0
"Charter Township of Brownstown, Precinct 10",41,15,0,11,0,1631122000010.0
"Charter Township of Brownstown, Precinct 11",19,4,0,4,0,1631122000011.0
"Charter Township of Brownstown, Precinct 12",27,8,1,9,0,1631122000012.0
"Canton Township, Precinct 1",69,32,1,25,0,1631312000001.0
"Canton Township, Precinct 2",100,66,0,18,0,1631312000002.0
"Canton Township, Precinct 3",161,118,1,22,0,1631312000003.0
"Canton Township, Precinct 4",119,67,0,28,0,1631312000004.0
"Canton Township, Precinct 5",84,52,1,19,0,1631312000005.0
"Canton Township, Precinct 6",35,22,0,8,0,1631312000006.0
"Canton Township, Precinct 7",109,74,2,10,0,1631312000007.0
"Canton Township, Precinct 8",194,168,0,13,0,1631312000008.0
"Canton Township, Precinct 9",77,47,0,14,0,1631312000009.0
"Canton Township, Precinct 10",58,41,0,8,0,1631312000010.0
"Canton Township, Precinct 11",45,26,0,10,0,1631312000011.0
"Canton Township, Precinct 12",64,28,1,18,0,1631312000012.0
"Canton Township, Precinct 13",105,61,0,24,1,1631312000013.0
"Canton Township, Precinct 14",100,38,0,31,0,1631312000014.0
"Canton Township, Precinct 15",117,72,0,22,0,1631312000015.0
"Canton Township, Precinct 16",202,153,1,36,0,1631312000016.0
"Canton Township, Precinct 17",242,176,0,37,0,1631312000017.0
"Canton Township, Precinct 18",239,181,0,30,0,1631312000018.0
"Canton Township, Precinct 19",146,98,0,28,0,1631312000019.0
"Canton Township, Precinct 20",94,61,0,6,0,1631312000020.0
