id,name,board,registered,ballots,over_votes,under_votes,total,turnout,Write-in,Mark W. Yonkman
1651232000001,"City of Cadillac, Precinct 1",,2698,664,0,0,277,24.61,2,277
1651232000002,"City of Cadillac, Precinct 2",,2653,630,0,0,321,23.75,9,321
1651232000003,"City of Cadillac, Precinct 3",,2454,811,0,0,319,33.05,1,319
1655088000001,"City of Manton, Precinct 1",,940,207,0,0,61,22.02,1,61
1650306000001,"Antioch Township, Precinct 1",,737,261,0,0,72,35.41,0,72
1650958000001,"Boon Township, Precinct 1",,553,178,0,0,71,32.19,2,71
1651412000001,"Cedar Creek Township, Precinct 1",,1664,357,0,0,128,21.45,0,128
1651506000001,"Cherry Grove Township, Precinct 1",,2094,795,0,0,290,37.97,3,290
1651586000001,"Clam Lake Township, Precinct 1",,2066,684,0,0,214,33.11,2,214
1651720000001,"Colfax Township, Precinct 1",,720,251,0,0,78,34.86,0,78
1653524000001,"Greenwood Township, Precinct 1",,497,169,0,0,46,34.0,0,46
1653642000001,"Hanover Township, Precinct 1",,1404,409,0,0,127,29.13,3,127
1653660000001,"Haring Township, Precinct 1",,2706,828,0,0,252,30.6,3,252
1653764000001,"Henderson Township, Precinct 1",,185,61,0,0,22,32.97,0,22
1654738000001,"Liberty Township, Precinct 1",,692,210,0,0,42,30.35,0,42
1657238000001,"Selma Township, Precinct 1",,1724,591,0,0,190,34.28,1,190
1657422000001,"Slagle Township, Precinct 1",,478,133,0,0,34,27.82,1,34
1657482000001,"South Branch Township, Precinct 1",,818,139,0,0,48,16.99,1,48
1657594000001,"Springville Township, Precinct 1",,1438,460,0,0,126,31.99,4,126
1658650000001,"Wexford Township, Precinct 1",,959,277,0,0,70,28.88,0,70
