id,name,board,registered,ballots,over_votes,under_votes,total,turnout,Write-in,Michele Hoitenga
1651232000001,"City of Cadillac, Precinct 1",,2698,664,0,0,289,24.61,2,289
1651232000002,"City of Cadillac, Precinct 2",,2653,630,0,0,226,23.75,2,226
1651232000003,"City of Cadillac, Precinct 3",,2454,811,0,0,368,33.05,1,368
1655088000001,"City of Manton, Precinct 1",,940,207,0,0,117,22.02,2,117
1650306000001,"Antioch Township, Precinct 1",,737,261,0,0,144,35.41,0,144
1650958000001,"Boon Township, Precinct 1",,553,178,0,0,90,32.19,1,90
1651412000001,"Cedar Creek Township, Precinct 1",,1664,357,0,0,199,21.45,3,199
1651506000001,"Cherry Grove Township, Precinct 1",,2094,795,0,0,396,37.97,3,396
1651586000001,"Clam Lake Township, Precinct 1",,2066,684,0,0,390,33.11,0,390
1651720000001,"Colfax Township, Precinct 1",,720,251,0,0,144,34.86,2,144
1653524000001,"Greenwood Township, Precinct 1",,497,169,0,0,112,34.0,1,112
1653642000001,"Hanover Township, Precinct 1",,1404,409,0,0,230,29.13,1,230
1653660000001,"Haring Township, Precinct 1",,2706,828,0,0,467,30.6,1,467
1653764000001,"Henderson Township, Precinct 1",,185,61,0,0,30,32.97,0,30
1654738000001,"Liberty Township, Precinct 1",,692,210,0,0,155,30.35,2,155
1657238000001,"Selma Township, Precinct 1",,1724,591,0,0,311,34.28,3,311
1657422000001,"Slagle Township, Precinct 1",,478,133,0,0,82,27.82,0,82
1657482000001,"South Branch Township, Precinct 1",,818,139,0,0,68,16.99,0,68
1657594000001,"Springville Township, Precinct 1",,1438,460,0,0,259,31.99,8,259
1658650000001,"Wexford Township, Precinct 1",,959,277,0,0,171,28.88,0,171
