name,Callie Barr,Kyle Blomquist,Wayne Stiles,Write-in
"Alcona Township, Precinct 1",72,57,17,0
"Caledonia Township, Precinct 1",85,33,18,0
"Curtis Township, Precinct 1",63,41,15,0
"Greenbush Township, Precinct 1",95,52,18,0
"Gustin Township, Precinct 1",26,20,7,0
"Harrisville, Precinct 1",76,51,13,0
"Hawes Township, Precinct 1",56,47,14,0
"Haynes Township, Precinct 1",36,26,11,0
"Mikado Township, Precinct 1",33,13,7,0
"Millen Township, Precinct 1",23,16,8,0
"Mitchell Township, Precinct 1",20,17,5,0
"Harrisville, Precinct 1",38,30,1,0
"Alcona EV, Precinct 1",43,37,7,0
