name,Callie Barr,Kyle Blomquist,Wayne Styles,Write-in
"Bay Township, Precinct 1",165,53,8,0
"Boyne Valley Township, Precinct 2",106,40,5,0
"Chandler Township, Precinct 3",18,10,1,0
"Charlevoix Township, Precinct 4",240,83,8,0
"Evangeline Township, Precinct 5",80,27,6,0
"Eveline Township, Precinct 6",189,51,22,0
"Hayes Township, Precinct 7",241,77,12,1
"Hudson Township, Precinct 8",34,15,7,0
"Marion Township, Precinct 9",157,52,20,1
"Melrose Township, Precinct 10",139,56,6,1
"Norwood Township, Precinct 11",105,39,4,0
"Peaine Township, Precinct 12",29,26,15,0
"St. James Township, Precinct 13",39,18,16,0
"South Arm Township, Precinct 14",149,57,11,0
"Wilson Township, Precinct 15",136,76,5,1
"City of Boyne City, Precinct 16",376,205,27,1
"City of Charlevoix, Ward 1, Precinct 18",148,60,9,0
"City of Charlevoix, Ward 2, Precinct 19",72,77,12,0
"City of Charlevoix, Ward 3, Precinct 20",75,45,2,0
"City of East Jordan, Precinct 21",110,62,14,0
