name,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Write-in
"Bay Township, Precinct 1",108,15,105,1
"Boyne Valley Township, Precinct 2",65,11,81,0
"Chandler Township, Precinct 3",12,2,16,0
"Charlevoix Township, Precinct 4",157,15,169,0
"Evangeline Township, Precinct 5",57,6,61,0
"Eveline Township, Precinct 6",113,16,143,0
"Hayes Township, Precinct 7",166,16,157,1
"Hudson Township, Precinct 8",30,3,30,0
"Marion Township, Precinct 9",113,8,125,0
"Melrose Township, Precinct 10",106,10,98,0
"Norwood Township, Precinct 11",81,10,60,0
"Peaine Township, Precinct 12",37,1,37,0
"St. James Township, Precinct 13",37,5,35,0
"South Arm Township, Precinct 14",96,8,119,0
"Wilson Township, Precinct 15",110,9,115,0
"City of Boyne City, Precinct 16",336,32,259,0
"City of Charlevoix, Ward 1, Precinct 18",100,4,121,0
"City of Charlevoix, Ward 2, Precinct 19",96,3,69,0
"City of Charlevoix, Ward 3, Precinct 20",65,5,53,0
"City of East Jordan, Precinct 21",97,21,76,0
