name,John James,Perry Johnson,Aric Nesbitt,Mike Cox,Write-in
"Oliver Township, Precinct 1",24,27,4,7,0
"Rapid River Township, Precinct 1",70,67,2,14,0
"Bear Lake Township, Precinct 1",64,48,8,22,0
"Boardman Township, Precinct 1",111,101,5,35,0
"Springfield Township, Precinct 1",79,77,2,31,0
"Excelsior Township, Precinct 1",80,67,3,14,0
"Clearwater Township, Precinct 1",202,98,13,51,0
"Kalkaska Township, Precinct 1",156,131,6,58,0
"Kalkaska Township, Precinct 2",102,88,14,48,0
"Garfield Township, Precinct 1",59,81,4,20,0
"Orange Township, Precinct 1",86,77,10,14,0
"Coldsprings Township, Precinct 1",144,108,6,43,0
"Blue Lake Township, Precinct 1",58,49,3,3,0
