name,Callie Barr,Kyle Blomquist,Wayne Stiles,Write-in
"Oliver Township, Precinct 1",15,5,3,0
"Rapid River Township, Precinct 1",63,31,9,0
"Bear Lake Township, Precinct 1",72,25,6,0
"Boardman Township, Precinct 1",84,44,10,0
"Springfield Township, Precinct 1",74,44,6,0
"Excelsior Township, Precinct 1",49,30,8,0
"Clearwater Township, Precinct 1",182,129,11,0
"Kalkaska Township, Precinct 1",122,92,12,0
"Kalkaska Township, Precinct 2",97,71,21,0
"Garfield Township, Precinct 1",61,27,11,0
"Orange Township, Precinct 1",55,58,11,0
"Coldsprings Township, Precinct 1",92,68,17,0
"Blue Lake Township, Precinct 1",62,22,2,0
