name,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Write-in
"Oliver Township, Precinct 1",8,2,13,0
"Rapid River Township, Precinct 1",57,0,49,0
"Bear Lake Township, Precinct 1",51,6,51,0
"Boardman Township, Precinct 1",73,6,60,0
"Springfield Township, Precinct 1",51,10,68,0
"Excelsior Township, Precinct 1",43,6,41,0
"Clearwater Township, Precinct 1",167,15,152,0
"Kalkaska Township, Precinct 1",95,118,19,0
"Kalkaska Township, Precinct 2",102,9,85,0
"Garfield Township, Precinct 1",38,5,67,27
"Orange Township, Precinct 1",59,5,45,0
"Coldsprings Township, Precinct 1",72,20,95,0
"Blue Lake Township, Precinct 1",34,3,57,0
