name,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Write-in
"City of Imlay City, Precinct 1",44,6,50,0
"City of Imlay City, Precinct 2",69,12,85,0
"City of Lapeer, Precinct 1",244,12,271,0
"City of Lapeer, Precinct 2",216,7,161,1
"Almont Township, Precinct 1",120,14,140,0
"Almont Township, Precinct 2",160,14,278,1
"Arcadia Township, Precinct 1",100,13,147,0
"Attica Township, Precinct 1",82,5,97,0
"Attica Township, Precinct 2",93,7,132,0
"Burlington Township, Precinct 1",21,6,55,0
"Burnside Township, Precinct 1",39,5,44,0
"Deerfield Township, Precinct 1",80,11,154,0
"Deerfield Township, Precinct 2",118,19,150,0
"Dryden Township, Precinct 1",227,16,265,0
"Elba Township, Precinct 1",60,12,93,0
"Elba Township, Precinct 2",103,10,151,1
"Elba Township, Precinct 3",70,8,130,0
"Goodland Township, Precinct 1",41,2,82,1
"Hadley Township, Precinct 1",249,23,350,1
"Imlay Township, Precinct 1",90,11,116,0
"Lapeer Township, Precinct 1",72,6,153,0
"Lapeer Township, Precinct 2",114,12,194,1
"Marathon Township, Precinct 1",167,29,283,0
"Mayfield Township, Precinct 1",112,8,197,0
"Mayfield Township, Precinct 2",94,13,135,0
"Mayfield Township, Precinct 3",116,8,188,0
"Metamora Township, Precinct 1",150,13,149,0
"Metamora Township, Precinct 2",118,16,135,0
"North Branch Township, Precinct 1",80,24,158,0
"Oregon Township, Precinct 1",149,10,205,0
"Oregon Township, Precinct 2",178,24,215,0
"Rich Township, Precinct 1",33,3,54,0
