name,Jocelyn Benson,Christopher Robert Swanson,Write In
"City of Ludington, Precinct 1",217,26,0
"City of Ludington, Precinct 2",188,29,1
"City of Ludington, Precinct 3",204,32,0
"City of Ludington, Precinct 4",127,19,0
"City of Ludington, Precinct 5",166,15,1
"City of Ludington, Precinct 6",152,26,0
"City of Scottville, Precinct 1",72,9,0
"Amber Township, Precinct 1",227,38,0
"Branch Township, Precinct 1",136,17,0
"Custer Township, Precinct 1",81,9,0
"Eden Township, Precinct 1",58,8,0
"Free Soil Township, Precinct 1",69,10,0
"Grant Township, Precinct 1",115,17,0
"Hamlin Township, Precinct 1",541,67,2
"Logan Township, Precinct 1",33,9,0
"Meade Township, Precinct 1",14,3,0
"Pere Marquette Charter Township, Precinct 1",327,30,1
"Riverton Township, Precinct 1",106,13,0
"Sheridan Township, Precinct 1",108,18,0
"Sherman Township, Precinct 1",75,11,0
"Summit Township, Precinct 1",144,13,1
"Victory Township, Precinct 1",111,27,0
