name,Ben Ambrose,Jamie Hill,Clyde Welford,Write-in
"City of Ludington, Precinct 1",125,84,17,0
"City of Ludington, Precinct 2",104,79,19,3
"City of Ludington, Precinct 3",102,83,29,0
"City of Ludington, Precinct 4",53,68,12,1
"City of Ludington, Precinct 5",61,80,15,2
"City of Ludington, Precinct 6",84,63,17,0
"City of Scottville, Precinct 1",34,31,6,0
"Amber Township, Precinct 1",108,106,27,0
"Branch Township, Precinct 1",55,53,34,2
"Custer Township, Precinct 1",37,36,8,0
"Eden Township, Precinct 1",27,26,10,1
"Free Soil Township, Precinct 1",42,21,9,0
"Grant Township, Precinct 1",62,52,6,0
"Hamlin Township, Precinct 1",287,221,49,6
"Logan Township, Precinct 1",19,9,11,0
"Meade Township, Precinct 1",6,9,0,0
"Pere Marquette Charter Township, Precinct 1",157,150,21,1
"Riverton Township, Precinct 1",43,51,11,1
"Sheridan Township, Precinct 1",50,58,12,1
"Sherman Township, Precinct 1",24,44,8,0
"Summit Township, Precinct 1",75,45,21,1
"Victory Township, Precinct 1",55,58,12,0
