name,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Write-in
"Aetna Township, Precinct 1",9,0,4,0
"Bloomfield Township, Precinct 1",18,2,28,0
"Butterfield Township, Precinct 1",12,1,32,0
"Caldwell Township, Precinct 1",36,3,31,0
"Clam Union Township, Precinct 1",8,1,18,0
"Enterprise Township, Precinct 1",7,0,6,0
"Forest Township, Precinct 1",30,8,38,0
"Holland Township, Precinct 1",4,1,14,0
"Lake Township, Precinct 1",79,28,156,0
"Norwich Township, Precinct 1",17,2,20,0
"Pioneer Township, Precinct 1",9,3,17,0
"Reeder Township, Precinct 1",39,3,42,0
"Richland Township, Precinct 1",17,3,35,0
"Riverside Township, Precinct 1",12,2,13,0
"West Branch Township, Precinct 1",8,0,18,0
"Lake City, Precinct 1",32,1,53,0
"McBain, Precinct 1",9,1,11,0
"Missaukee EV, Precinct 1",23,4,29,0
