name,Jocelyn Benson,Christopher Robert Swanson,Write-in
"City of Brown City, Precinct 1",46,14,0
"City of Croswell, Precinct 1",147,30,0
"City of Marlette, Precinct 1",119,47,0
"City of Sandusky, Precinct 1",133,55,0
"Argyle Township, Precinct 1",27,15,0
"Austin Township, Precinct 1",26,24,0
"Bridgehampton Township, Precinct 1",17,11,0
"Buel Township, Precinct 1",43,15,0
"Custer Township, Precinct 1",42,8,0
"Delaware Township, Precinct 1",42,16,0
"Elk Township, Precinct 1",78,24,0
"Elmer Township, Precinct 1",23,13,0
"Evergreen Township, Precinct 1",14,4,0
"Flynn Township, Precinct 1",33,12,0
"Forester Township, Precinct 1",94,17,0
"Fremont Township, Precinct 1",54,7,0
"Greenleaf Township, Precinct 1",24,19,0
"Lamotte Township, Precinct 1",23,18,0
"Lexington Township, Precinct 1",116,37,0
"Maple Valley Township, Precinct 1",46,17,1
"Marion Township, Precinct 1",53,24,0
"Marlette Township, Precinct 1",71,31,0
"Minden Township, Precinct 1",40,13,0
"Moore Township, Precinct 1",45,6,0
"Sanilac Township, Precinct 1",271,41,1
"Speaker Township, Precinct 1",82,12,1
"Washington Township, Precinct 1",68,11,1
"Watertown Township, Precinct 1",39,12,0
"Wheatland Township, Precinct 1",19,10,0
"Worth Township, Precinct 1",82,28,1
