name,Mike Cox,John James,Perry Johnson,Aric Nesbitt,Write-in
"City of Brown City, Precinct 1",0,1,1,0,0
"City of Croswell, Precinct 1",0,1,0,0,0
"City of Marlette, Precinct 1",0,2,0,0,0
"City of Sandusky, Precinct 1",4,12,19,1,0
"Argyle Township, Precinct 1",0,1,1,0,0
"Austin Township, Precinct 1",0,0,0,0,0
"Bridgehampton Township, Precinct 1",1,2,2,0,0
"Buel Township, Precinct 1",0,3,2,0,0
"Custer Township, Precinct 1",1,2,4,1,0
"Delaware Township, Precinct 1",0,1,0,0,0
"Elk Township, Precinct 1",0,4,3,0,0
"Elmer Township, Precinct 1",4,0,5,1,0
"Evergreen Township, Precinct 1",0,0,0,0,0
"Flynn Township, Precinct 1",0,0,0,0,0
"Forester Township, Precinct 1",0,2,0,0,0
"Fremont Township, Precinct 1",0,4,1,0,0
"Greenleaf Township, Precinct 1",0,0,0,0,0
"Lamotte Township, Precinct 1",0,0,0,0,0
"Lexington Township, Precinct 1",49,133,108,6,1
"Maple Valley Township, Precinct 1",0,4,0,0,0
"Marion Township, Precinct 1",1,7,3,0,0
"Marlette Township, Precinct 1",0,8,6,0,0
"Minden Township, Precinct 1",0,1,0,0,0
"Moore Township, Precinct 1",0,5,2,0,0
"Sanilac Township, Precinct 1",0,4,1,0,0
"Speaker Township, Precinct 1",0,4,2,0,0
"Washington Township, Precinct 1",2,10,1,0,0
"Watertown Township, Precinct 1",5,18,7,0,0
"Wheatland Township, Precinct 1",0,0,0,0,0
"Worth Township, Precinct 1",59,130,109,3,2
