name,Mike Cox,John James,Perry Johnson,Aric Nesbitt,Write-in
"City of Brown City, Precinct 1",21,83,51,2,0
"City of Croswell, Precinct 1",36,134,74,5,0
"City of Marlette, Precinct 1",64,152,105,5,3
"City of Sandusky, Precinct 1",45,135,97,9,0
"Argyle Township, Precinct 1",17,46,68,4,1
"Austin Township, Precinct 1",7,22,33,4,0
"Bridgehampton Township, Precinct 1",20,52,44,1,0
"Buel Township, Precinct 1",30,76,88,6,1
"Custer Township, Precinct 1",27,79,79,1,1
"Delaware Township, Precinct 1",15,91,73,3,0
"Elk Township, Precinct 1",36,106,108,9,1
"Elmer Township, Precinct 1",24,66,52,5,1
"Evergreen Township, Precinct 1",12,52,45,1,0
"Flynn Township, Precinct 1",12,62,38,3,0
"Forester Township, Precinct 1",23,78,79,1,0
"Fremont Township, Precinct 1",12,61,50,5,0
"Greenleaf Township, Precinct 1",10,31,37,0,0
"Lamotte Township, Precinct 1",28,65,70,1,1
"Lexington Township, Precinct 1",26,153,93,1,1
"Maple Valley Township, Precinct 1",23,63,40,5,0
"Marion Township, Precinct 1",29,105,77,2,0
"Marlette Township, Precinct 1",46,183,146,8,2
"Minden Township, Precinct 1",9,30,67,1,0
"Moore Township, Precinct 1",20,69,61,5,0
"Sanilac Township, Precinct 1",75,239,150,6,1
"Speaker Township, Precinct 1",21,89,84,5,2
"Washington Township, Precinct 1",43,92,104,10,0
"Watertown Township, Precinct 1",32,110,96,3,2
"Wheatland Township, Precinct 1",9,39,31,3,0
"Worth Township, Precinct 1",26,173,111,2,0
